elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
14.64,0.0000,0.0000,0.0000,0.0000
20.65,-0.0058,-0.0002,-0.0058,-0.0002
21.75,-0.0205,-0.0033,-0.0205,-0.0033
22.76,-0.0340,-0.0097,-0.0340,-0.0097
23.84,-0.0459,-0.0188,-0.0459,-0.0188
24.84,-0.0557,-0.0302,-0.0557,-0.0302
25.84,-0.0649,-0.0467,-0.0649,-0.0467
26.96,-0.0693,-0.0609,-0.0693,-0.0609
27.93,-0.0052,-0.0592,-0.0052,-0.0592
28.24,0.4646,0.3007,0.4646,0.3007
29.33,0.4676,0.2603,0.4676,0.2603
29.93,0.5115,0.6078,0.5115,0.6078
30.64,0.5334,0.5553,0.5334,0.5553
31.75,0.5869,0.4911,0.5869,0.4911
32.33,0.5615,0.5896,0.5615,0.5896
33.34,0.5542,0.6000,0.5542,0.6000
33.83,0.4947,0.6895,0.4947,0.6895
34.25,0.5419,0.6493,0.5419,0.6493
34.96,0.6106,0.6265,0.6106,0.6265
36.15,0.6467,0.6344,0.6467,0.6344
36.34,0.7075,0.6715,0.7075,0.6715
36.63,0.7524,0.7992,0.7524,0.7992
37.65,0.3890,0.6575,0.3890,0.6575
38.24,0.4054,0.7173,0.4054,0.7173
38.93,0.4140,0.7832,0.4140,0.7832
39.24,0.3400,0.6089,0.3400,0.6089
39.93,0.2327,0.4375,0.2327,0.4375
40.84,0.2255,0.5055,0.2255,0.5055
41.85,0.2026,0.5114,0.2026,0.5114
46.54,0.3463,-0.2834,0.3463,-0.2834
48.54,0.3830,-0.3398,0.3830,-0.3398
48.64,0.5036,-0.4257,0.5036,-0.4257
48.84,0.4456,-0.4206,0.4456,-0.4206
49.54,0.6908,-0.4913,0.6908,-0.4913
49.94,0.6186,-0.4912,0.6186,-0.4912
51.04,0.8098,-0.5295,0.8098,-0.5295
51.23,0.7404,-0.5432,0.7404,-0.5432
52.59,0.7468,-0.5502,0.7468,-0.5502
