elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
18.17,0.0000,0.0000,0.0000,0.0000
25.63,-0.0008,-0.0100,-0.0008,-0.0100
26.23,0.0087,-0.0696,0.0087,-0.0696
27.44,0.0411,-0.1517,0.0411,-0.1517
28.20,0.0749,-0.2067,0.0749,-0.2067
28.43,0.1034,0.0282,0.1034,0.0282
28.74,0.1386,-0.0249,0.1386,-0.0249
29.73,0.1179,0.1247,0.1179,0.1247
30.53,0.1099,0.1892,0.1099,0.1892
30.73,0.0495,0.2997,0.0495,0.2997
31.63,0.0230,0.3813,0.0230,0.3813
31.84,-0.0728,0.4913,-0.0728,0.4913
32.63,-0.1354,0.5348,-0.1354,0.5348
32.83,-0.2465,0.6283,-0.2465,0.6283
33.44,-0.1882,0.5996,-0.1882,0.5996
34.03,-0.1304,0.5674,-0.1304,0.5674
35.03,-0.2065,0.5847,-0.2065,0.5847
35.78,-0.1728,0.5448,-0.1728,0.5448
36.27,-0.1251,0.5022,-0.1251,0.5022
36.83,-0.0782,0.4585,-0.0782,0.4585
37.87,-0.0433,0.4537,-0.0433,0.4537
38.23,-0.1672,0.5206,-0.1672,0.5206
39.03,-0.1689,0.4706,-0.1689,0.4706
39.73,-0.1368,0.4168,-0.1368,0.4168
40.26,-0.1352,0.4810,-0.1352,0.4810
40.44,-0.1492,0.5308,-0.1492,0.5308
41.23,-0.2185,0.6058,-0.2185,0.6058
41.43,-0.2126,0.5459,-0.2126,0.5459
42.04,-0.1862,0.4835,-0.1862,0.4835
