elapsed_s,x_m,y_m
8.02,0.0000,0.0000
26.89,0.0708,0.1924
31.06,0.1278,-0.0044
32.16,0.0559,-0.2285
32.96,-0.1123,-0.3389
37.16,-0.3450,-0.4872
40.06,-0.1216,-0.4625
41.36,-0.3390,-0.6231
42.56,-0.5383,-0.7631
43.87,-0.3826,-0.9013
44.09,-0.6183,-0.8409
45.16,-0.8594,-0.7583
46.26,-0.9993,-0.6031
48.26,-1.1318,-0.4418
50.76,-1.2815,-0.2639
52.56,-1.4029,-0.0881
62.08,-1.3595,0.1133
72.97,-1.3598,0.3570
78.74,-1.2367,0.9820
79.86,-1.2764,0.7650
80.37,-1.3148,0.5545
81.46,-1.3770,0.3471
85.06,-1.3813,0.5530
86.82,-1.5643,0.4543
93.07,-1.4443,0.6157
96.26,-1.6602,0.6065
97.56,-1.8477,0.5310
100.56,-1.6510,0.6457
102.56,-1.4495,0.6786
102.96,-1.2440,0.6673
103.89,-1.0348,0.6693
104.86,-1.2555,0.6832
109.10,-0.7193,0.6440
110.76,-0.9759,0.6794
113.20,-1.1920,0.7089
114.16,-1.3921,0.7329
116.46,-1.1847,0.7134
117.07,-0.9387,0.6762
137.86,-1.0517,0.8464
141.97,-0.9288,1.0212
143.28,-0.7060,0.9496
144.06,-0.6659,0.7494
145.26,-0.7409,0.5462
146.16,-0.9521,0.4046
147.56,-1.1588,0.3601
148.16,-1.3592,0.4019
158.66,-1.4087,0.2072
160.26,-1.6239,0.3756
161.36,-1.6228,0.5827
163.96,-1.8238,0.5277
165.46,-1.6608,0.6535
165.96,-1.4684,0.7572
