elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
19.99,-0.1347,-0.2995,-0.2783,-0.6187
38.17,0.1954,0.5049,0.3217,0.8313
41.01,-1.4783,-0.0151,-1.8283,-0.0187
48.03,-1.0145,-0.7110,-1.2962,-0.9187
