elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
16.27,0.0000,0.0000,-0.0059,-0.0006,0.0000,0.0000,-0.0059,-0.0006
20.38,-0.0014,-0.0001,-0.0120,-0.0023,-0.0014,-0.0001,-0.0120,-0.0023
21.51,-0.0162,-0.0019,-0.0181,-0.0050,-0.0162,-0.0019,-0.0181,-0.0050
22.58,-0.0302,-0.0073,-0.0286,-0.0104,-0.0302,-0.0073,-0.0286,-0.0104
23.60,-0.0426,-0.0157,-0.0407,-0.0193,-0.0426,-0.0157,-0.0407,-0.0193
24.67,-0.0524,-0.0270,-0.0509,-0.0312,-0.0524,-0.0270,-0.0509,-0.0312
25.67,-0.0619,-0.0446,-0.0595,-0.0550,-0.0619,-0.0446,-0.0595,-0.0550
26.67,-0.0672,-0.0614,-0.0175,-0.0489,-0.0672,-0.0614,-0.0175,-0.0489
27.69,-0.0734,-0.1260,0.0918,0.0115,-0.0734,-0.1260,0.0918,0.0115
28.37,0.1675,0.0146,0.1302,0.0255,0.1675,0.0146,0.1302,0.0255
28.66,0.4939,0.2750,0.1960,0.0545,0.4939,0.2750,0.1960,0.0545
