elapsed_s,area_m2,percent_known,known_cells,total_cells
3.52,4.350,76.92,1740,2262
5.52,4.350,76.92,1740,2262
7.44,4.350,76.92,1740,2262
9.34,4.350,76.92,1740,2262
11.11,4.350,76.92,1740,2262
13.12,4.350,76.92,1740,2262
15.32,5.125,89.09,2050,2301
17.09,5.125,89.09,2050,2301
19.09,5.125,89.09,2050,2301
21.09,5.245,87.42,2098,2400
23.34,5.303,88.38,2121,2400
25.51,5.315,88.58,2126,2400
27.09,5.315,88.58,2126,2400
29.25,5.315,88.58,2126,2400
31.43,5.370,89.50,2148,2400
33.22,5.370,89.50,2148,2400
35.11,5.370,89.50,2148,2400
37.21,5.475,91.25,2190,2400
39.14,5.570,88.41,2228,2520
41.11,5.570,88.41,2228,2520
43.10,5.605,87.51,2242,2562
45.13,5.635,87.98,2254,2562
47.11,5.643,88.10,2257,2562
49.11,5.643,88.10,2257,2562
51.30,5.653,88.25,2261,2562
53.11,5.653,88.25,2261,2562
55.30,5.653,88.25,2261,2562
57.71,5.848,89.17,2339,2623
59.72,5.913,90.16,2365,2623
61.11,5.913,90.16,2365,2623
63.11,5.913,90.16,2365,2623
65.15,5.923,90.32,2369,2623
67.10,5.923,90.32,2369,2623
69.10,5.923,90.32,2369,2623
