elapsed_s,x_rel_m,y_rel_m
20.02,0.0000,0.0000
25.01,-0.0009,-0.0000
26.10,-0.0163,-0.0004
27.12,-0.0212,-0.0006
28.11,-0.0462,-0.0014
29.12,-0.0612,-0.0019
30.24,-0.0762,-0.0025
31.40,-0.0912,-0.0030
32.46,-0.1112,-0.0038
33.51,-0.1261,-0.0044
34.57,-0.1411,-0.0051
35.62,-0.1561,-0.0057
36.75,-0.1761,-0.0066
37.83,-0.1911,-0.0073
38.84,-0.1961,-0.0075
39.93,-0.0311,0.0025
40.95,-0.0491,0.0025
42.01,-0.0645,0.0024
43.12,-0.0929,0.0022
44.14,-0.1078,0.0021
45.23,-0.1227,0.0020
46.24,-0.1377,0.0019
47.38,-0.1477,0.0018
48.42,-0.1727,0.0015
52.71,-0.2774,-0.0221
52.82,-0.1037,-0.0515
53.01,-0.1406,-0.1109
53.31,-0.0216,-0.0855
54.31,-0.0178,-0.0698
55.40,-0.0014,-0.0485
57.82,0.0024,-0.0406
58.98,0.0041,-0.0370
60.01,-0.0107,-0.0412
61.01,-0.0165,-0.0226
62.01,-0.0179,-0.0126
