elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
17.27,0.0000,0.0000,-0.0088,-0.0004,0.0000,0.0000,-0.0088,-0.0004
24.88,-0.0083,-0.0003,-0.0162,-0.0010,-0.0083,-0.0003,-0.0162,-0.0010
25.90,-0.0183,-0.0008,-0.0234,-0.0024,-0.0183,-0.0008,-0.0234,-0.0024
26.97,-0.0381,-0.0030,-0.0347,-0.0045,-0.0381,-0.0030,-0.0347,-0.0045
27.98,-0.0522,-0.0081,-0.0468,-0.0083,-0.0522,-0.0081,-0.0468,-0.0083
29.02,-0.0567,-0.0105,-0.0595,-0.0152,-0.0567,-0.0105,-0.0595,-0.0152
30.27,-0.0687,-0.0193,-0.0708,-0.0319,-0.0687,-0.0193,-0.0708,-0.0319
31.29,-0.0816,-0.0352,0.0403,0.0394,-0.0816,-0.0352,0.0403,0.0394
32.27,-0.0951,-0.0865,0.1552,0.0987,-0.0951,-0.0865,0.1552,0.0987
32.69,0.5036,0.3484,0.2757,0.1738,0.5036,0.3484,0.2757,0.1738
33.56,0.5178,0.2860,0.4009,0.2660,0.5178,0.2860,0.4009,0.2660
33.89,0.5339,0.3564,0.5321,0.3872,0.5339,0.3564,0.5321,0.3872
34.27,0.5443,0.4259,0.5484,0.4158,0.5443,0.4259,0.5484,0.4158
34.57,0.5607,0.5196,0.5467,0.4831,0.5607,0.5196,0.5467,0.4831
35.64,0.5851,0.4912,0.5208,0.5738,0.5851,0.4912,0.5208,0.5738
36.08,0.5096,0.6222,0.4928,0.6510,0.5096,0.6222,0.4928,0.6510
36.27,0.4044,0.8103,0.4600,0.7103,0.4044,0.8103,0.4600,0.7103
37.37,0.4041,0.8119,0.4194,0.7773,0.4041,0.8119,0.4194,0.7773
38.40,0.3971,0.8157,0.3914,0.8235,0.3971,0.8157,0.3914,0.8235
39.48,0.3818,0.8262,0.3877,0.8428,0.3818,0.8262,0.3877,0.8428
40.49,0.3695,0.8533,0.3934,0.8678,0.3695,0.8533,0.3934,0.8678
41.57,0.3859,0.9070,0.4137,0.8915,0.3859,0.9070,0.4137,0.8915
42.57,0.4326,0.9370,0.4461,0.8877,0.4326,0.9370,0.4461,0.8877
43.57,0.4990,0.9342,0.4843,0.7979,0.4990,0.9342,0.4843,0.7979
44.17,0.5433,0.8071,0.5236,0.6937,0.5433,0.8071,0.5236,0.6937
44.57,0.5606,0.4043,0.5602,0.5733,0.5606,0.4043,0.5602,0.5733
45.63,0.5827,0.3860,0.6442,0.4376,0.5827,0.3860,0.6442,0.4376
45.87,0.6155,0.3349,0.7142,0.3150,0.6155,0.3349,0.7142,0.3150
46.46,0.9189,0.2560,0.7505,0.2798,0.9189,0.2560,0.7505,0.2798
47.07,0.8933,0.1939,0.7798,0.2593,0.8933,0.1939,0.7798,0.2593
49.07,0.7420,0.2283,0.8037,0.2683,0.7420,0.2283,0.8037,0.2683
49.19,0.7291,0.2836,0.7479,0.2924,0.7291,0.2836,0.7479,0.2924
49.69,0.7352,0.3796,0.7300,0.3495,0.7352,0.3796,0.7300,0.3495
50.28,0.6399,0.3765,0.7325,0.4030,0.6399,0.3765,0.7325,0.4030
50.87,0.8040,0.4795,0.7466,0.4499,0.8040,0.4795,0.7466,0.4499
51.17,0.7543,0.4958,0.7692,0.4838,0.7543,0.4958,0.7692,0.4838
51.57,0.7994,0.5180,0.8396,0.5163,0.7994,0.5180,0.8396,0.5163
52.17,0.8483,0.5492,0.8676,0.5349,0.8483,0.5492,0.8676,0.5349
52.57,0.9921,0.5390,0.9135,0.5437,0.9921,0.5390,0.9135,0.5437
52.88,0.9440,0.5723,0.9361,0.5564,0.9440,0.5723,0.9361,0.5564
53.18,0.9838,0.5400,0.9764,0.5435,0.9838,0.5400,0.9764,0.5435
54.18,0.9122,0.5816,0.9782,0.5414,0.9122,0.5816,0.9782,0.5414
54.57,1.0498,0.4845,0.9982,0.5230,1.0498,0.4845,0.9982,0.5230
54.88,1.0009,0.5288,1.0039,0.5251,1.0009,0.5288,1.0039,0.5251
55.24,1.0443,0.4800,1.0521,0.5080,1.0443,0.4800,1.0521,0.5080
55.89,1.0121,0.5508,1.0656,0.5216,1.0121,0.5508,1.0656,0.5216
56.18,1.1533,0.4957,1.0928,0.5169,1.1533,0.4957,1.0928,0.5169
56.57,1.1175,0.5525,1.1185,0.5123,1.1175,0.5525,1.1185,0.5123
56.87,1.1368,0.5053,1.1413,0.5056,1.1368,0.5053,1.1413,0.5056
57.18,1.1727,0.4572,1.1453,0.5038,1.1727,0.4572,1.1453,0.5038
57.58,1.1262,0.5172,1.1501,0.5054,1.1262,0.5172,1.1501,0.5054
58.18,1.1733,0.4869,1.1561,0.5042,1.1733,0.4869,1.1561,0.5042
58.57,1.1413,0.5603,1.1614,0.5013,1.1413,0.5603,1.1614,0.5013
58.87,1.1670,0.4994,1.1675,0.5008,1.1670,0.4994,1.1675,0.5008
59.31,1.1992,0.4426,1.1673,0.4915,1.1992,0.4426,1.1673,0.4915
59.59,1.1570,0.5145,1.1766,0.4553,1.1570,0.5145,1.1766,0.4553
59.99,1.1722,0.4406,1.1746,0.4442,1.1722,0.4406,1.1746,0.4442
60.17,1.1876,0.3794,1.1697,0.4306,1.1876,0.3794,1.1697,0.4306
61.17,1.1572,0.4441,1.1622,0.3675,1.1572,0.4441,1.1622,0.3675
61.87,1.1746,0.3744,1.1463,0.3380,1.1746,0.3744,1.1463,0.3380
62.68,1.1194,0.1990,1.1237,0.3400,1.1194,0.1990,1.1237,0.3400
63.18,1.0926,0.2931,1.1167,0.3036,1.0926,0.2931,1.1167,0.3036
63.57,1.0746,0.3896,1.1007,0.3003,1.0746,0.3896,1.1007,0.3003
64.27,1.1221,0.2620,1.0854,0.3037,1.1221,0.2620,1.0854,0.3037
64.62,1.0949,0.3580,1.0618,0.2413,1.0949,0.3580,1.0618,0.2413
64.88,1.0428,0.2160,1.0385,0.1760,1.0428,0.2160,1.0385,0.1760
65.37,0.9745,-0.0189,1.0282,0.1818,0.9745,-0.0189,1.0282,0.1818
65.57,0.9584,0.0632,1.0384,0.2039,0.9584,0.0632,1.0384,0.2039
65.88,1.0704,0.2905,1.0617,0.2396,1.0704,0.2905,1.0617,0.2396
66.42,1.1460,0.4689,1.0990,0.3445,1.1460,0.4689,1.0990,0.3445
66.57,1.1594,0.3945,1.1399,0.3842,1.1594,0.3945,1.1399,0.3842
66.97,1.1610,0.5051,1.1561,0.3627,1.1610,0.5051,1.1561,0.3627
67.88,1.1627,0.2617,1.1590,0.3103,1.1627,0.2617,1.1590,0.3103
