elapsed_s,x_rel_m,y_rel_m
17.27,0.0000,0.0000
24.88,-0.0083,-0.0003
25.90,-0.0183,-0.0008
26.97,-0.0381,-0.0030
27.98,-0.0522,-0.0081
29.02,-0.0567,-0.0105
30.27,-0.0687,-0.0193
31.29,-0.0816,-0.0352
32.27,-0.0951,-0.0865
32.69,0.5036,0.3484
33.56,0.5178,0.2860
33.89,0.5339,0.3564
34.27,0.5443,0.4259
34.57,0.5607,0.5196
35.64,0.5851,0.4912
36.08,0.5096,0.6222
36.27,0.4044,0.8103
37.37,0.4041,0.8119
38.40,0.3971,0.8157
39.48,0.3818,0.8262
40.49,0.3695,0.8533
41.57,0.3859,0.9070
42.57,0.4326,0.9370
43.57,0.4990,0.9342
44.17,0.5433,0.8071
44.57,0.5606,0.4043
45.63,0.5827,0.3860
45.87,0.6155,0.3349
46.46,0.9189,0.2560
47.07,0.8933,0.1939
49.07,0.7420,0.2283
49.19,0.7291,0.2836
49.69,0.7352,0.3796
50.28,0.6399,0.3765
50.87,0.8040,0.4795
51.17,0.7543,0.4958
51.57,0.7994,0.5180
52.17,0.8483,0.5492
52.57,0.9921,0.5390
52.88,0.9440,0.5723
53.18,0.9838,0.5400
54.18,0.9122,0.5816
54.57,1.0498,0.4845
54.88,1.0009,0.5288
55.24,1.0443,0.4800
55.89,1.0121,0.5508
56.18,1.1533,0.4957
56.57,1.1175,0.5525
56.87,1.1368,0.5053
57.18,1.1727,0.4572
57.58,1.1262,0.5172
58.18,1.1733,0.4869
58.57,1.1413,0.5603
58.87,1.1670,0.4994
59.31,1.1992,0.4426
59.59,1.1570,0.5145
59.99,1.1722,0.4406
60.17,1.1876,0.3794
61.17,1.1572,0.4441
61.87,1.1746,0.3744
62.68,1.1194,0.1990
63.18,1.0926,0.2931
63.57,1.0746,0.3896
64.27,1.1221,0.2620
64.62,1.0949,0.3580
64.88,1.0428,0.2160
65.37,0.9745,-0.0189
65.57,0.9584,0.0632
65.88,1.0704,0.2905
66.42,1.1460,0.4689
66.57,1.1594,0.3945
66.97,1.1610,0.5051
67.88,1.1627,0.2617
67.97,1.1513,0.1833
69.88,1.1607,0.2067
70.00,1.1954,0.3207
70.17,1.1439,0.0776
70.28,1.0443,0.0877
70.58,1.0693,0.1552
70.88,1.1277,0.2527
71.18,1.1458,0.3125
71.61,1.1634,0.3697
71.87,1.1860,0.4298
72.18,1.1322,0.2679
72.57,1.0553,0.0793
73.18,1.0549,0.1673
73.57,1.0204,0.1164
73.89,1.0364,0.2387
74.18,1.0119,0.0489
74.58,1.0251,0.1875
75.30,0.9673,0.0800
75.57,0.9746,0.1837
75.88,1.0001,0.2333
76.17,0.9571,0.0888
76.57,0.9564,0.2297
77.28,0.9490,0.1244
77.57,0.9432,0.2094
78.58,0.9348,0.0687
78.88,0.9212,0.2234
79.59,0.9163,0.2785
79.67,0.9102,0.2220
80.67,0.8986,0.2384
81.68,0.8893,0.2696
81.87,0.8897,0.3231
82.57,0.8789,0.2693
83.57,0.8685,0.3227
83.87,0.8709,0.3848
84.57,0.8559,0.3087
85.27,0.8535,0.4032
86.28,0.8400,0.2257
86.58,0.8321,0.3260
87.18,0.8222,0.3836
87.58,0.8262,0.4497
87.87,0.8192,0.2554
88.18,0.8085,0.3587
89.19,0.8168,0.2496
89.57,0.8064,0.4446
90.28,0.8039,0.2714
90.37,0.7926,0.3227
90.57,0.7864,0.4201
90.88,0.7847,0.4878
91.68,0.7749,0.4164
92.68,0.7692,0.4365
92.97,0.7697,0.5031
93.17,0.7787,0.6111
93.57,0.7942,0.6892
93.87,0.7914,0.4909
94.90,0.7502,0.5139
95.27,0.7506,0.5901
95.59,0.7517,0.3576
95.89,0.7385,0.4674
96.19,0.7436,0.3668
96.58,0.7321,0.4961
96.88,0.7457,0.6350
97.28,0.7264,0.5026
97.87,0.7098,0.5831
98.17,0.7191,0.6537
98.68,0.7101,0.3852
98.89,0.6925,0.5868
99.87,0.6843,0.6545
100.27,0.6882,0.4296
100.58,0.6816,0.5899
100.97,0.6864,0.6711
101.17,0.6646,0.4549
101.57,0.6601,0.5658
101.88,0.6746,0.7138
102.18,0.6555,0.5432
102.59,0.6746,0.7859
102.87,0.7064,0.7437
103.17,0.7051,0.6651
103.57,0.6673,0.7242
103.89,0.6499,0.4786
104.39,0.6326,0.5289
104.57,0.6314,0.7208
104.87,0.6595,0.9103
105.27,0.6847,0.5094
105.48,0.6700,0.5674
105.68,0.6551,0.7470
105.88,0.6597,0.9241
106.57,0.6827,0.8306
106.87,0.6331,0.6981
107.30,0.6320,0.5152
107.57,0.6246,0.7573
107.87,0.6556,0.9529
108.18,0.6525,0.8216
108.68,0.6001,0.5436
109.26,0.5872,0.6998
109.58,0.5872,0.8040
109.87,0.6029,0.8690
110.90,0.5784,0.8913
111.20,0.5618,0.8056
111.58,0.5620,0.7333
111.67,0.5564,0.7928
111.88,0.5693,0.9361
112.18,0.5963,1.0819
112.58,0.5951,0.6802
112.87,0.5600,0.8537
113.40,0.5515,0.9312
114.15,0.5371,0.5999
114.97,0.5242,0.7823
116.87,0.9013,1.7629
117.58,2.2313,2.1180
117.67,2.4113,2.0924
117.95,2.5861,2.0446
118.38,1.8549,1.8774
118.57,2.1259,1.8591
118.77,2.3639,1.7998
118.98,2.0515,1.8628
119.17,1.8718,1.8765
119.40,2.3089,1.8258
119.61,2.5877,1.7134
120.00,2.0816,1.7481
120.11,2.1428,1.7898
121.18,1.9487,1.8953
121.40,2.2607,1.8540
122.18,2.5538,1.6571
122.36,2.6264,1.5347
122.88,2.1870,1.5816
123.87,2.0413,1.6545
124.20,2.6124,1.3634
124.44,2.3336,1.5086
124.77,2.4475,1.4469
