elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
9.19,-0.0300,-0.3178,-0.0581,-0.6164
9.59,-0.7598,0.5152,-1.0081,0.6836
9.97,-1.3310,-0.5516,-1.6081,-0.6664
12.89,-1.9739,0.6375,-2.2581,0.7336
19.38,-1.8851,-0.8052,-2.1638,-0.9164
21.44,-1.3447,0.2323,-1.6415,0.2761
30.58,-1.5010,-0.2166,-1.7007,-0.2267
32.95,0.6405,-0.2260,0.8993,-0.3778
33.27,-0.0248,-1.4376,-0.1007,-1.7278
34.68,0.8126,-1.6906,0.8993,-1.9778
44.61,0.0697,-2.1369,-0.0007,-2.4285
45.26,-1.1523,-0.2481,-1.4507,-0.2785
46.27,0.7009,-0.0593,0.9993,-0.0285
55.75,-1.5014,0.0925,-1.7007,0.1092
