elapsed_s,x_rel_m,y_rel_m
19.26,0.0000,0.0000
23.26,-0.0031,-0.0001
24.30,-0.0168,-0.0007
25.37,-0.0317,-0.0014
26.51,-0.0467,-0.0013
27.61,-0.0572,-0.0010
28.66,-0.0773,-0.0013
29.67,-0.0966,-0.0049
30.81,-0.1170,-0.0137
31.17,0.4444,0.0935
32.19,0.4806,0.0862
33.21,0.4747,0.0725
34.29,0.4729,0.0668
35.39,0.4721,0.0428
36.40,0.4723,0.0327
36.88,0.8222,0.6346
37.96,0.8227,0.6331
39.06,0.8213,0.6359
40.06,0.8170,0.6424
41.06,0.8087,0.6518
42.07,0.7955,0.6630
43.16,0.7693,0.6784
44.17,0.7523,0.6854
45.28,0.7106,0.6957
46.18,0.5341,0.3445
47.27,0.5087,0.3333
48.16,0.4563,0.3005
48.86,0.6470,0.3520
49.87,0.6078,0.3311
50.86,0.5585,0.2970
51.91,0.5857,0.3189
52.96,0.5595,0.3095
53.16,0.6181,0.3435
54.07,0.5729,0.3217
54.56,0.5288,0.2948
55.36,0.6096,0.3476
55.86,0.5593,0.3226
56.96,0.5709,0.3291
57.56,0.5165,0.3005
57.86,0.5794,0.3313
58.56,0.5213,0.3031
59.46,0.5720,0.3301
59.86,0.5099,0.3007
60.66,0.4487,0.2641
61.16,0.5517,0.3236
61.56,0.4861,0.2918
62.16,0.5375,0.3173
62.96,0.4826,0.2915
63.31,0.5311,0.3188
63.86,0.4721,0.2896
64.29,0.5174,0.3120
65.35,0.4835,0.2957
