elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
8.06,0.0798,0.2198,0.1822,0.5018
8.69,-0.1506,-0.6558,-0.2178,-0.9482
9.20,-0.8965,0.4236,-1.1678,0.5518
12.65,-1.8754,-0.8648,-2.1438,-0.9989
16.70,-0.0811,0.6446,-0.0938,0.9443
18.36,-1.3133,2.1742,-1.4438,2.4443
18.99,-0.0939,1.6485,-0.0438,1.9443
21.75,0.1852,-0.4592,0.3562,-0.7057
25.00,-1.0513,0.3273,-1.3438,0.3943
26.59,-0.7483,2.1478,-0.7938,2.4443
27.19,-0.6067,1.1466,-0.6438,1.4443
31.10,-0.2609,-0.6133,-0.1938,-0.9057
33.86,0.0741,0.7059,0.2562,0.9443
34.95,-0.1752,1.8460,-0.1438,2.1443
38.80,-1.0516,0.3260,-1.3438,0.3943
40.79,0.1690,-0.4713,0.3562,-0.7057
43.35,-0.2155,1.0951,-0.1938,1.3943
44.77,-0.7293,2.1513,-0.7938,2.4443
