elapsed_s,x_m,y_m
17.69,0.0000,0.0000
34.85,-0.2204,-0.0187
36.92,-0.0019,0.0107
41.66,-0.0735,-0.1785
45.26,-0.0245,0.0351
59.55,-0.2126,-0.1736
59.81,-0.0212,0.0461
64.17,-0.1594,-0.1164
65.57,-0.0045,0.0659
86.50,0.1838,0.2764
86.97,0.3392,0.4554
87.36,0.5011,0.6421
88.94,0.6598,0.8156
89.15,0.4142,0.5378
89.45,0.2783,0.3861
89.55,0.1395,0.2223
91.15,-0.0230,0.0386
93.50,-0.2267,0.0926
95.02,-0.4105,0.2419
95.25,-0.1631,0.3978
95.35,-0.1927,0.6284
95.56,-0.2269,0.9006
97.15,-0.2839,1.6985
97.25,-0.5179,0.6121
98.76,-0.4940,0.8693
