elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
10.14,0.0682,0.2397,0.1502,0.5283
10.83,-0.6466,-0.4108,-0.8998,-0.5717
11.42,0.5056,-0.5934,0.7002,-0.8217
12.03,-1.0149,0.3344,-1.2998,0.4283
20.87,-0.8543,-0.8785,-1.0783,-1.0781
23.43,0.7773,-1.0489,0.9217,-1.3119
30.11,-1.3405,-0.9790,-1.5783,-1.1619
32.33,-1.1006,0.1837,-1.4005,0.1881
45.34,-0.9615,-0.9971,-1.2005,-1.1784
58.14,-1.1289,0.0052,-1.4274,0.0351
71.17,-1.0810,-0.9937,-1.3274,-1.1649
83.33,-1.1297,-0.0023,-1.4274,0.0351
96.25,-1.0819,-0.9924,-1.3274,-1.1649
108.26,-1.1295,-0.0003,-1.4274,0.0351
