elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
16.24,0.0031,-0.1000,0.0208,-0.6795
24.85,0.7803,0.1195,1.7167,0.4705
27.26,0.7046,0.9705,1.0167,1.9205
29.04,0.4999,1.7774,0.6167,2.7705
32.92,-0.1041,1.0207,-0.8333,1.7050
42.92,1.4498,0.6074,2.0667,1.3945
49.93,1.5413,-0.2058,1.5667,-1.2055
113.74,2.2411,0.4204,2.7167,1.3000
115.54,2.2362,-0.6828,2.4667,-1.6558
137.23,-0.1241,-0.4443,-0.9833,-0.9558
149.58,0.6196,1.5059,0.4667,2.4942
153.14,-0.0576,1.0631,-0.8333,1.6942
163.72,1.5994,1.0474,2.3167,1.7442
167.82,0.7084,-0.6795,0.2667,-1.5767
