elapsed_s,x_m,y_m
4.11,0.0000,0.0000
19.18,-0.2139,-0.0002
20.87,0.1315,-0.0033
22.77,0.3228,-0.0645
23.98,0.5299,-0.0109
24.88,0.7015,0.1387
25.08,0.8682,0.3657
26.89,0.6687,0.3130
27.38,0.3216,0.4077
29.18,0.4296,0.5943
32.87,0.7187,0.2485
34.68,0.5674,0.1172
36.89,0.2997,0.0557
37.09,0.0677,-0.0048
39.68,0.2786,-0.0386
40.77,0.4734,0.0085
41.07,0.6798,0.1129
41.38,0.8719,0.2103
42.87,1.1318,0.2017
44.88,1.3091,0.0583
45.38,1.3031,-0.1563
47.58,1.3421,0.0411
48.88,1.4631,0.2404
50.12,1.5383,0.4436
51.07,1.3687,0.2396
51.58,1.2908,0.0537
56.48,1.4073,0.2521
57.23,1.2835,0.0907
60.47,1.0856,0.0314
60.99,0.8901,0.2905
61.27,0.7692,0.4561
62.51,0.5677,0.3814
63.27,0.3567,0.2712
64.57,0.5688,0.3566
65.27,0.7558,0.4434
68.37,0.5616,0.3487
69.57,0.3721,0.2464
71.07,0.5930,0.4130
73.08,0.7961,0.4664
74.67,1.0402,0.4026
75.27,1.3364,0.3146
75.67,1.5394,0.2411
76.67,1.3401,0.3410
77.01,1.0965,0.4432
79.17,0.9617,0.0666
81.09,0.9521,-0.1421
82.42,1.0449,-0.3354
83.38,1.2806,-0.2680
85.21,1.1772,0.0543
86.58,1.3888,0.1102
87.47,1.5995,0.1601
88.92,1.8039,0.0903
89.53,1.5827,0.1549
90.13,1.3749,0.2138
90.40,1.1354,0.2717
95.77,1.3292,0.1459
97.28,1.0926,0.2304
98.78,1.2781,0.3182
99.98,1.4601,0.4344
101.18,1.6841,0.1645
103.18,1.4325,-0.1419
105.18,1.3523,0.2082
106.48,1.4727,0.3724
107.27,1.5473,0.1820
109.40,1.5724,-0.0309
110.77,1.4186,0.1029
111.38,1.6254,0.1346
111.58,1.8445,0.0968
113.87,2.0402,-0.0346
115.08,2.2297,-0.1384
115.67,2.0344,-0.0470
116.97,2.2080,-0.1595
117.37,2.0269,-0.0406
119.57,1.8377,0.0768
121.37,1.6573,0.1682
122.58,1.4413,0.1736
123.58,1.2913,0.3684
125.67,1.3407,0.5709
126.88,1.1352,0.5038
129.08,0.9169,0.4483
129.37,1.2251,0.5416
130.67,1.4308,0.5944
134.77,1.2249,0.6197
135.98,1.2385,0.4097
137.59,1.0050,0.3298
137.99,0.6704,0.2819
139.28,0.6605,0.4954
141.78,0.5200,0.1686
145.57,0.7242,0.3463
145.87,0.7816,0.5568
149.87,0.7817,0.3515
153.77,0.6715,0.0848
165.98,0.9354,0.1197
167.89,1.1711,0.0929
168.07,1.4993,0.0578
169.97,1.2976,0.0341
171.77,1.5626,0.0518
174.28,1.7697,0.1044
175.49,1.8987,0.2731
175.87,1.8188,0.5348
176.19,1.7097,0.7489
