elapsed_s,x_m,y_m
13.97,0.0000,0.0000
28.55,0.1587,-0.1226
28.79,0.3318,-0.4132
29.09,0.5125,-0.7383
31.20,0.2998,-0.7142
32.59,0.1065,-0.5796
34.58,0.2604,-0.7170
38.38,0.1269,-0.5627
40.79,0.0638,-0.3412
44.58,0.0925,-0.5472
45.78,0.0589,-0.7589
46.38,0.1176,-0.5003
48.28,0.0322,-0.3165
50.48,0.2280,-0.2438
52.28,-0.0001,-0.2523
53.58,-0.2385,-0.1253
54.38,-0.5018,-0.1876
54.98,-0.3185,-0.2722
61.21,-0.1724,-0.4290
62.38,0.0122,-0.3072
63.30,-0.2047,-0.2682
64.08,0.0059,-0.2846
66.71,0.1920,-0.3962
