elapsed_s,x_m,y_m
8.31,0.0000,0.0000
25.68,0.0983,0.1836
27.72,-0.0865,0.2697
28.29,-0.2084,0.0933
29.58,-0.2944,-0.1067
30.58,-0.2196,-0.3918
31.08,-0.1114,-0.6141
33.03,-0.0273,-0.8762
36.28,-0.0789,-0.6787
56.29,0.1307,-0.9333
58.08,-0.0145,-0.7748
64.19,-0.2191,-0.8321
65.39,-0.3755,-0.9805
66.09,-0.1342,-0.9377
67.68,0.1263,-0.7634
69.49,0.3013,-0.5836
70.79,0.4082,-0.4017
72.48,0.2055,-0.4034
73.88,0.4021,-0.2799
75.38,0.2341,-0.4166
76.89,0.3827,-0.2712
77.88,0.5396,-0.1237
79.39,0.7065,0.0402
93.45,0.8726,0.1755
97.86,0.7099,0.0383
98.69,0.5470,-0.0964
104.28,0.7182,0.0345
106.11,0.8688,0.1683
108.19,0.7074,0.0455
120.08,0.8598,0.1814
121.48,0.6904,0.0421
134.51,0.8471,0.1993
136.38,0.6759,0.0576
148.99,0.8305,0.2109
