elapsed_s,x_rel_m,y_rel_m
16.37,0.0000,0.0000
20.67,-0.0147,-0.0003
21.47,-0.0866,-0.0020
22.57,-0.0844,-0.0018
23.58,-0.0838,-0.0018
24.65,-0.0842,-0.0018
25.68,-0.0840,-0.0018
75.57,-0.0739,-0.0180
76.27,-0.0535,-0.0740
77.28,-0.0445,-0.1027
77.47,-0.0266,-0.1600
78.27,0.0454,-0.1245
79.27,-0.0070,-0.0057
80.27,-0.0071,-0.0056
85.47,-0.0067,-0.0071
86.62,-0.0008,-0.0216
87.67,0.0073,-0.0339
88.77,-0.0038,-0.0208
89.78,0.0060,-0.0329
90.79,0.0166,-0.0451
91.98,0.0206,-0.0504
93.47,0.0028,-0.0360
94.12,-0.0426,-0.0034
94.79,-0.0940,0.0262
98.07,-0.0124,-0.0229
99.16,-0.0304,-0.0286
100.17,-0.0430,-0.0232
101.22,-0.0314,-0.0271
103.18,-0.0122,-0.0312
103.57,-0.0915,-0.0718
104.57,-0.0810,-0.0426
105.62,-0.0799,-0.0327
106.66,-0.0788,-0.0178
107.66,-0.0778,-0.0028
108.67,-0.0780,0.0122
108.93,-0.0269,-0.0374
109.27,0.2041,-0.2779
110.27,0.1920,-0.2713
111.37,0.1783,-0.2765
112.47,0.1679,-0.2873
113.57,0.1498,-0.2945
