elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
9.58,0.3758,-0.2262,0.6328,-0.3810
10.30,-0.4855,-0.1778,-0.7672,-0.2810
10.83,-0.9543,0.5245,-1.2172,0.6690
11.39,-1.2402,-0.5158,-1.5172,-0.6310
19.51,-1.5452,0.7222,-1.8172,0.8487
35.12,0.8055,-0.2303,0.9853,-0.4705
41.37,-0.0996,-0.7246,-0.2714,-0.9705
43.05,-0.7832,-0.2871,-1.0714,-0.3705
44.31,-0.8204,0.9151,-1.0714,1.0795
46.82,0.8685,0.5258,1.0286,0.7795
51.23,-0.8784,-0.8945,-1.1214,-1.0705
52.95,-0.8233,1.5542,-1.0214,1.7795
56.72,-0.5289,-0.0036,-0.8214,-0.0705
57.57,-1.7725,0.0554,-2.0714,0.0295
