elapsed_s,frontier_x_m,frontier_y_m
3.80,-0.6992,-0.8517
3.80,-1.7492,-0.5017
3.80,-0.9992,-0.8017
3.80,-0.7992,-0.8517
3.80,0.4508,-0.8517
3.80,0.4008,-0.7517
3.80,-0.5492,-0.6517
3.80,-1.6992,0.5983
3.80,-0.1992,0.6483
3.80,-2.0492,0.5983
3.80,-0.9492,0.6983
3.80,-1.1492,0.7483
3.80,-0.5492,0.7983
3.80,-1.3492,0.7983
3.80,-1.6492,0.8483
3.80,-1.4992,0.8483
3.80,0.5008,0.8983
5.57,-0.6992,-0.8517
5.57,-1.7492,-0.5017
5.57,-0.9992,-0.8017
5.57,-0.7992,-0.8517
5.57,0.4508,-0.8517
5.57,0.4008,-0.7517
5.57,-0.5492,-0.6517
5.57,-1.6992,0.5983
5.57,-0.1992,0.6483
5.57,-2.0492,0.5983
5.57,-0.9492,0.6983
5.57,-1.1492,0.7483
5.57,-0.5492,0.7983
5.57,-1.3492,0.7983
5.57,-1.6492,0.8483
5.57,-1.4992,0.8483
5.57,0.5008,0.8983
7.10,-0.6992,-0.8517
7.10,-1.7492,-0.5017
7.10,-0.9992,-0.8017
7.10,-0.7992,-0.8517
7.10,0.4508,-0.8517
7.10,0.4008,-0.7517
7.10,-0.5492,-0.6517
7.10,-1.6992,0.5983
7.10,-0.1992,0.6483
7.10,-2.0492,0.5983
7.10,-0.9492,0.6983
7.10,-1.1492,0.7483
7.10,-0.5492,0.7983
7.10,-1.3492,0.7983
7.10,-1.6492,0.8483
7.10,-1.4992,0.8483
7.10,0.5008,0.8983
8.75,-0.6992,-0.8517
8.75,-1.7492,-0.5017
8.75,-0.9992,-0.8017
8.75,-0.7992,-0.8517
8.75,0.4508,-0.8517
8.75,0.4008,-0.7517
8.75,-0.5492,-0.6517
8.75,-1.6992,0.5983
8.75,-0.1992,0.6483
8.75,-2.0492,0.5983
8.75,-0.9492,0.6983
8.75,-1.1492,0.7483
8.75,-0.5492,0.7983
8.75,-1.3492,0.7983
8.75,-1.6492,0.8483
8.75,-1.4992,0.8483
8.75,0.5008,0.8983
11.26,-0.6992,-0.8517
11.26,-1.7492,-0.5017
11.26,-0.9992,-0.8017
11.26,-0.7992,-0.8517
11.26,0.4508,-0.8517
11.26,0.4008,-0.7517
11.26,-0.5492,-0.6517
11.26,-1.6992,0.5983
11.26,-0.1992,0.6483
11.26,-2.0492,0.5983
11.26,-0.9492,0.6983
11.26,-1.1492,0.7483
11.26,-0.5492,0.7983
11.26,-1.3492,0.7983
11.26,-1.6492,0.8483
11.26,-1.4992,0.8483
11.26,0.5008,0.8983
14.05,-1.5050,-0.8347
14.05,-1.4050,-0.8347
