elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
13.19,0.1408,-0.0927,0.3913,-0.2578
13.86,-0.5297,0.4484,-0.7587,0.6422
14.04,-0.6906,-0.6518,-0.9087,-0.8578
14.30,-1.5155,0.3287,-1.8087,0.3922
15.25,-1.5759,-0.5577,-1.8587,-0.6578
124.74,-0.7135,-0.8349,-0.9587,-1.0078
125.03,-0.8729,0.3568,-1.1087,0.5422
126.06,0.2119,1.0937,0.2413,1.3922
126.55,0.3395,-0.7542,0.4913,-1.0129
127.48,-1.6759,0.2370,-1.9587,0.3371
136.71,0.8042,-0.3000,1.0913,-0.2129
142.07,0.1296,-1.0262,0.0413,-1.3129
148.53,-0.9616,-0.0659,-1.2587,-0.0242
151.43,0.7936,-0.1611,1.0913,-0.1242
161.71,0.0808,-0.8953,0.1913,-1.1742
163.59,-0.9788,-0.1321,-1.2587,-0.0242
165.01,-0.1440,-1.6746,-0.1587,-1.9742
165.84,-1.3754,-0.9256,-1.6587,-1.0242
166.46,-0.5250,1.0377,-0.6087,1.3258
167.06,-1.6856,0.2515,-1.9587,0.3758
173.13,0.3655,-1.4519,0.4913,-1.7242
173.79,0.8039,-0.2103,1.0913,-0.1242
174.61,-0.7959,0.6238,-0.9587,0.8758
175.36,0.1892,1.0803,0.2413,1.3758
178.47,-1.2173,-0.7531,-1.5087,-0.8242
181.34,0.0808,-0.8953,0.1913,-1.1742
181.93,-0.1440,-1.6746,-0.1587,-1.9742
182.82,-1.3301,0.5815,-1.5587,0.7758
183.55,-0.5250,1.0377,-0.6087,1.3258
186.75,0.8039,-0.2103,1.0913,-0.1242
190.19,0.3655,-1.4519,0.4913,-1.7242
191.44,-0.9788,-0.1321,-1.2587,-0.0242
192.14,0.1892,1.0803,0.2413,1.3758
192.72,-1.6856,0.2515,-1.9587,0.3758
193.35,-1.3754,-0.9256,-1.6587,-1.0242
198.31,0.0808,-0.8953,0.1913,-1.1742
199.15,-0.1440,-1.6746,-0.1587,-1.9742
199.87,-0.7959,0.6238,-0.9587,0.8758
201.94,0.8039,-0.2103,1.0913,-0.1242
204.78,0.1892,1.0803,0.2413,1.3758
205.60,-1.6856,0.2515,-1.9587,0.3758
207.25,0.3655,-1.4519,0.4913,-1.7242
208.02,-0.9788,-0.1321,-1.2587,-0.0242
210.45,-1.3754,-0.9256,-1.6587,-1.0242
212.92,-0.5250,1.0377,-0.6087,1.3258
215.37,0.0808,-0.8953,0.1913,-1.1742
216.11,-0.1440,-1.6746,-0.1587,-1.9742
216.87,0.8039,-0.2103,1.0913,-0.1242
217.54,-1.3301,0.5815,-1.5587,0.7758
221.01,0.1892,1.0803,0.2413,1.3758
224.23,0.3655,-1.4519,0.4913,-1.7242
225.05,-1.2173,-0.7531,-1.5087,-0.8242
225.80,-0.7959,0.6238,-0.9587,0.8758
226.56,-1.6856,0.2515,-1.9587,0.3758
229.65,0.8039,-0.2103,1.0913,-0.1242
232.32,0.0808,-0.8953,0.1913,-1.1742
232.92,-0.1440,-1.6746,-0.1587,-1.9742
233.86,-0.9788,-0.1321,-1.2587,-0.0242
234.62,-0.5250,1.0377,-0.6087,1.3258
237.72,-1.3754,-0.9256,-1.6587,-1.0242
241.02,0.3655,-1.4519,0.4913,-1.7242
241.70,-1.6856,0.2515,-1.9587,0.3758
242.71,-0.7959,0.6238,-0.9587,0.8758
243.34,0.1892,1.0803,0.2413,1.3758
244.32,0.8039,-0.2103,1.0913,-0.1242
249.55,0.0808,-0.8953,0.1913,-1.1742
250.46,-0.1440,-1.6746,-0.1587,-1.9742
251.03,-0.9788,-0.1321,-1.2587,-0.0242
251.87,-0.5250,1.0377,-0.6087,1.3258
253.03,-1.3754,-0.9256,-1.6587,-1.0242
254.84,-1.6856,0.2515,-1.9587,0.3758
258.60,0.3655,-1.4519,0.4913,-1.7242
260.04,-0.7959,0.6238,-0.9587,0.8758
260.78,0.1892,1.0803,0.2413,1.3758
261.72,0.8039,-0.2103,1.0913,-0.1242
266.85,0.0808,-0.8953,0.1913,-1.1742
267.74,-1.2173,-0.7531,-1.5087,-0.8242
268.35,-0.1440,-1.6746,-0.1587,-1.9742
269.06,-0.5250,1.0377,-0.6087,1.3258
269.81,-1.3301,0.5815,-1.5587,0.7758
276.72,0.3655,-1.4519,0.4913,-1.7242
277.78,0.1892,1.0803,0.2413,1.3758
278.78,-0.9788,-0.1321,-1.2587,-0.0242
279.74,0.8039,-0.2103,1.0913,-0.1242
280.76,-1.3754,-0.9256,-1.6587,-1.0242
281.69,-1.6856,0.2515,-1.9587,0.3758
284.83,0.0808,-0.8953,0.1913,-1.1742
285.51,-0.1440,-1.6746,-0.1587,-1.9742
286.14,-0.5250,1.0377,-0.6087,1.3258
289.78,-1.3301,0.5815,-1.5587,0.7758
292.56,0.8039,-0.2103,1.0913,-0.1242
293.67,0.3655,-1.4519,0.4913,-1.7242
294.48,-1.2173,-0.7531,-1.5087,-0.8242
295.26,0.1892,1.0803,0.2413,1.3758
298.12,-0.7959,0.6238,-0.9587,0.8758
299.33,-1.6856,0.2515,-1.9587,0.3758
301.82,0.0808,-0.8953,0.1913,-1.1742
302.45,-0.1440,-1.6746,-0.1587,-1.9742
