elapsed_s,x_m,y_m
18.68,0.0000,0.0000
42.17,0.1479,0.1575
49.39,-0.1251,-0.1315
51.04,0.0303,0.0966
51.24,0.1498,0.2716
53.54,0.4278,0.3933
59.10,0.4487,0.1527
59.44,0.4651,-0.1574
59.64,-0.0772,-0.1370
61.64,-0.4225,0.2179
62.05,-0.6245,0.3215
63.34,-0.4348,0.2420
66.65,-0.2367,0.1865
67.84,-0.0602,0.0182
69.24,0.1667,-0.1692
70.15,-0.0535,-0.1216
70.94,-0.2659,0.0393
74.65,-0.3997,0.2684
77.34,-0.2870,0.0428
78.35,-0.4648,0.1935
79.74,-0.6608,0.4394
83.04,-0.6030,0.6389
87.05,-0.4765,0.8533
89.87,-0.6211,1.1926
91.64,-0.6203,1.6678
92.24,-0.6211,1.8707
