elapsed_s,x_rel_m,y_rel_m
18.59,0.0000,0.0000
23.10,-0.0040,-0.0001
24.20,-0.0189,-0.0031
25.30,-0.0322,-0.0097
26.40,-0.0468,-0.0232
27.40,-0.0541,-0.0362
28.41,-0.0584,-0.0506
29.41,-0.0608,-0.0654
30.50,-0.0614,-0.0803
31.39,0.3727,0.4042
31.70,0.4684,0.5142
33.10,0.4683,0.5141
34.13,0.4985,0.5167
34.41,0.5637,0.5431
35.10,0.6241,0.5804
35.70,0.6779,0.6229
36.19,0.6744,0.6865
36.41,0.5387,0.9134
37.10,0.5663,0.9671
37.40,0.4051,0.8520
38.46,0.4247,0.9171
38.80,0.3151,0.7642
39.10,0.2917,0.7148
39.42,0.2378,0.5864
40.50,0.2174,0.5543
