elapsed_s,x_m,y_m
11.30,0.0000,0.0000
68.30,0.1899,-0.1018
70.60,0.0127,-0.0058
74.93,-0.0907,0.1758
75.81,-0.1176,0.3832
77.60,0.0045,0.0920
78.30,0.0279,-0.1292
89.22,-0.0561,-0.3192
97.10,-0.0964,-0.5262
97.90,-0.0313,-0.3352
99.00,0.0380,-0.1232
117.30,0.2379,-0.0954
126.10,0.0035,-0.0516
132.41,0.1859,-0.2573
133.60,-0.0259,-0.1064
135.90,-0.2384,-0.0623
137.00,-0.4425,-0.0106
138.23,-0.5142,0.1834
139.40,-0.2257,0.3497
140.61,0.0567,0.3784
146.60,-0.1135,0.4834
148.50,0.0849,0.5334
149.41,0.2687,0.4174
152.90,0.4173,0.2166
160.10,0.3401,0.4130
162.60,0.2747,0.6571
165.70,0.2988,0.4420
168.41,0.3108,0.6465
169.30,0.3793,0.3828
171.60,0.2439,0.5841
173.80,0.4372,0.3583
203.10,0.3762,0.1669
235.33,0.2598,0.0027
