elapsed_s,x_m,y_m
6.38,0.0000,0.0000
23.05,0.2009,-0.0159
24.55,0.2692,-0.2067
25.99,-0.0327,-0.2655
27.15,-0.2887,-0.1896
28.17,-0.4485,0.0239
29.66,-0.4519,0.2423
30.56,-0.3576,0.4873
31.55,-0.5432,0.6052
31.85,-0.2559,0.7154
32.85,-0.1483,0.8872
33.28,0.0023,0.7548
37.87,0.2023,0.5570
41.28,0.2437,0.3550
41.55,0.1393,0.1660
73.05,0.2474,-0.0211
74.66,0.2901,-0.2169
75.45,0.0421,-0.0297
79.15,-0.0276,-0.2307
80.85,-0.0681,-0.0133
82.05,-0.0778,0.2065
87.46,-0.1074,-0.0080
89.65,-0.1986,0.1825
90.36,-0.0247,0.3905
92.59,-0.2271,0.3738
94.55,-0.2068,0.5838
95.65,-0.0185,0.6594
95.95,0.1595,0.5128
97.67,0.3382,0.3945
99.16,0.0893,0.5263
101.17,-0.0291,0.6960
102.26,0.1482,0.5373
106.17,0.2489,0.7137
108.16,0.4125,0.5918
109.25,0.3731,0.3387
110.05,0.2084,0.2030
110.55,0.0058,0.1205
115.89,0.2201,0.0994
118.25,-0.0022,0.0397
118.97,-0.1831,0.1341
121.39,-0.1017,-0.0548
123.36,-0.3015,-0.0916
124.25,-0.3517,0.1207
124.95,-0.3193,0.3413
130.45,-0.4865,0.2276
132.15,-0.4765,0.4338
133.15,-0.2885,0.5632
135.29,-0.3606,0.7678
136.75,-0.2029,0.9139
138.05,-0.0239,0.7780
138.65,0.0180,0.5662
145.16,0.1233,0.7491
146.25,0.0937,0.5265
146.95,0.0075,0.3177
149.35,0.1587,0.4594
152.76,0.0292,0.2939
194.25,0.2125,0.3854
195.16,0.0853,0.1540
195.85,-0.1221,0.0393
200.40,0.0284,-0.1107
201.35,-0.1657,-0.2032
202.35,-0.3755,-0.1041
203.05,-0.5324,0.0601
209.15,-0.5624,-0.1385
210.75,-0.7192,0.0766
211.45,-0.6334,0.4001
213.59,-0.8622,0.4073
215.99,-0.8155,0.6031
216.96,-0.6548,0.7297
220.65,-0.3781,0.6805
220.95,-0.2260,0.4670
221.55,-0.3187,0.2428
255.37,-0.1573,0.1227
256.71,-0.2271,-0.1132
258.15,-0.4049,-0.2392
258.85,-0.6436,-0.1695
260.97,-0.4984,-0.3301
264.16,-0.7110,-0.1469
