metric,value
data_end_x_m,0.4003
data_end_y_m,0.341
stable_end_x_m,-0.0415
stable_end_y_m,-0.0885
jump_flag,1
jump_distance_m,0.6710670681832033
jump_dt_s,1.5600000000000023
note,jump_flag=1 means final saved end may not match physical stop; use stable_end_* for stop comparison
