elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
10.97,0.0000,0.0000,-0.0087,-0.0015,0.0000,0.0000,-0.0087,-0.0015
21.87,-0.0055,-0.0001,-0.0135,-0.0039,-0.0055,-0.0001,-0.0135,-0.0039
22.96,-0.0206,-0.0042,-0.0181,-0.0080,-0.0206,-0.0042,-0.0181,-0.0080
24.00,-0.0280,-0.0114,-0.0266,-0.0169,-0.0280,-0.0114,-0.0266,-0.0169
25.05,-0.0366,-0.0243,-0.0345,-0.0298,-0.0366,-0.0243,-0.0345,-0.0298
26.14,-0.0426,-0.0443,-0.0390,-0.0465,-0.0426,-0.0443,-0.0390,-0.0465
27.18,-0.0446,-0.0646,-0.0417,-0.0619,-0.0446,-0.0646,-0.0417,-0.0619
28.30,-0.0430,-0.0878,0.0384,0.0323,-0.0430,-0.0878,0.0384,0.0323
29.31,-0.0415,-0.0885,0.1270,0.1093,-0.0415,-0.0885,0.1270,0.1093
30.87,0.3636,0.4465,0.1698,0.1528,0.3636,0.4465,0.1698,0.1528
31.07,0.4003,0.3410,0.2408,0.2330,0.4003,0.3410,0.2408,0.2330
