elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
17.79,0.0000,0.0000,-0.0216,-0.0297,0.0000,0.0000,-0.0216,-0.0297
23.82,-0.0092,-0.0217,-0.0414,-0.0493,-0.0092,-0.0217,-0.0414,-0.0493
24.41,-0.0557,-0.0674,-0.0626,-0.0698,-0.0557,-0.0674,-0.0626,-0.0698
25.20,-0.1008,-0.1079,-0.0761,-0.0856,-0.1008,-0.1079,-0.0761,-0.0856
26.00,-0.1473,-0.1519,-0.0707,-0.0818,-0.1473,-0.1519,-0.0707,-0.0818
26.59,-0.0676,-0.0790,-0.0311,-0.0428,-0.0676,-0.0790,-0.0311,-0.0428
27.50,0.0178,-0.0027,0.0243,0.0122,0.0178,-0.0027,0.0243,0.0122
27.76,0.1423,0.1273,0.1067,0.0978,0.1423,0.1273,0.1067,0.0978
28.39,0.1763,0.1672,0.1905,0.1906,0.1763,0.1672,0.1905,0.1906
28.59,0.2646,0.2764,0.2636,0.2772,0.2646,0.2764,0.2636,0.2772
28.79,0.3517,0.3850,0.2940,0.3146,0.3517,0.3850,0.2940,0.3146
29.40,0.3833,0.4300,0.3332,0.3638,0.3833,0.4300,0.3332,0.3638
