elapsed_s,area_m2,percent_known,known_cells,total_cells
0.38,3.783,65.75,1513,2301
1.32,3.783,65.75,1513,2301
2.09,3.783,65.75,1513,2301
3.09,3.783,65.75,1513,2301
4.28,3.783,65.75,1513,2301
5.73,3.783,65.75,1513,2301
7.09,3.783,65.75,1513,2301
8.65,3.783,65.75,1513,2301
9.07,3.783,65.75,1513,2301
10.20,3.783,65.75,1513,2301
11.63,3.783,65.75,1513,2301
13.21,3.783,65.75,1513,2301
14.16,3.783,65.75,1513,2301
14.95,3.783,65.75,1513,2301
16.08,3.783,65.75,1513,2301
16.72,3.783,65.75,1513,2301
17.62,3.783,65.75,1513,2301
18.59,3.783,65.75,1513,2301
19.69,3.783,65.75,1513,2301
20.59,3.783,65.75,1513,2301
21.60,3.783,65.75,1513,2301
22.59,3.783,65.75,1513,2301
23.61,3.783,65.75,1513,2301
24.61,3.783,65.75,1513,2301
25.85,3.943,68.54,1577,2301
26.60,3.943,68.54,1577,2301
27.62,3.955,68.75,1582,2301
28.59,4.025,69.97,1610,2301
29.60,4.183,72.71,1673,2301
30.59,4.183,72.71,1673,2301
31.60,4.315,75.01,1726,2301
32.63,4.670,81.18,1868,2301
33.60,4.940,85.88,1976,2301
34.94,5.100,86.44,2040,2360
35.92,5.215,88.39,2086,2360
36.62,5.215,88.39,2086,2360
37.61,5.285,89.58,2114,2360
38.60,5.285,89.58,2114,2360
39.60,5.285,89.58,2114,2360
40.67,5.285,89.58,2114,2360
41.61,5.285,89.58,2114,2360
42.61,5.285,89.58,2114,2360
43.59,5.285,89.58,2114,2360
44.65,5.285,89.58,2114,2360
45.62,5.285,89.58,2114,2360
46.60,5.285,89.58,2114,2360
47.63,5.285,89.58,2114,2360
