elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
18.25,0.0000,0.0000,0.0000,0.0000
23.45,-0.0061,-0.0001,-0.0061,-0.0001
24.05,-0.0714,-0.0015,-0.0714,-0.0015
24.75,-0.1317,-0.0028,-0.1317,-0.0028
25.26,-0.1887,-0.0040,-0.1887,-0.0040
25.85,-0.2462,-0.0051,-0.2462,-0.0051
26.48,-0.3028,-0.0070,-0.3028,-0.0070
27.05,-0.1662,-0.0094,-0.1662,-0.0094
27.26,0.0294,-0.0113,0.0294,-0.0113
27.99,-0.0218,-0.0263,-0.0218,-0.0263
28.25,0.0306,-0.0224,0.0306,-0.0224
28.92,-0.0186,-0.0388,-0.0186,-0.0388
29.95,-0.0412,-0.0637,-0.0412,-0.0637
30.65,-0.0425,-0.1140,-0.0425,-0.1140
31.25,-0.0558,-0.1684,-0.0558,-0.1684
31.86,-0.0615,-0.2307,-0.0615,-0.2307
32.55,-0.0598,-0.2961,-0.0598,-0.2961
32.76,0.0814,-0.0951,0.0814,-0.0951
33.25,0.1018,-0.1557,0.1018,-0.1557
33.66,0.1116,-0.0807,0.1116,-0.0807
33.85,0.1101,0.0643,0.1101,0.0643
34.48,0.1431,0.0076,0.1431,0.0076
34.96,0.1340,0.0905,0.1340,0.0905
35.15,0.1047,0.2221,0.1047,0.2221
35.72,0.1448,0.1841,0.1448,0.1841
35.96,0.0286,0.4169,0.0286,0.4169
36.46,0.0773,0.3728,0.0773,0.3728
37.15,0.0329,0.4409,0.0329,0.4409
37.37,-0.0512,0.5570,-0.0512,0.5570
38.25,-0.1237,0.6323,-0.1237,0.6323
38.46,-0.1616,0.6734,-0.1616,0.6734
39.46,-0.1607,0.6747,-0.1607,0.6747
40.55,-0.1610,0.6736,-0.1610,0.6736
41.56,-0.1611,0.6737,-0.1611,0.6737
43.45,-0.1612,0.6739,-0.1612,0.6739
44.75,-0.1612,0.6738,-0.1612,0.6738
45.75,-0.1757,0.6786,-0.1757,0.6786
46.85,-0.1751,0.6786,-0.1751,0.6786
