elapsed_s,area_m2,percent_known,known_cells,total_cells
0.99,3.775,71.60,1510,2109
3.42,3.775,71.60,1510,2109
5.81,3.775,71.60,1510,2109
7.94,3.775,71.60,1510,2109
10.70,3.775,71.60,1510,2109
12.34,3.775,71.60,1510,2109
14.32,3.775,71.60,1510,2109
15.88,3.775,71.60,1510,2109
17.90,3.775,71.60,1510,2109
19.90,3.775,71.60,1510,2109
21.88,3.775,71.60,1510,2109
23.91,4.650,84.39,1860,2204
25.89,4.783,86.80,1913,2204
28.24,5.015,91.02,2006,2204
29.95,5.018,91.06,2007,2204
31.89,5.018,91.06,2007,2204
34.12,5.035,91.38,2014,2204
35.89,5.035,91.38,2014,2204
37.90,5.053,91.70,2021,2204
39.92,5.053,91.70,2021,2204
41.91,5.055,91.74,2022,2204
43.93,5.055,91.74,2022,2204
45.90,5.058,91.79,2023,2204
47.90,5.058,91.79,2023,2204
49.89,5.058,91.79,2023,2204
51.92,6.290,73.03,2516,3445
54.09,6.290,73.03,2516,3445
55.90,6.293,73.06,2517,3445
58.10,6.295,73.09,2518,3445
59.92,6.295,73.09,2518,3445
61.89,6.295,73.09,2518,3445
64.18,6.295,73.09,2518,3445
65.95,6.295,73.09,2518,3445
67.94,6.298,73.12,2519,3445
70.14,6.298,73.12,2519,3445
71.92,6.298,73.12,2519,3445
74.42,6.298,73.12,2519,3445
