elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
14.22,0.0000,0.0000,0.0000,0.0000
17.82,-0.0020,-0.0001,-0.0020,-0.0001
18.82,-0.0169,-0.0011,-0.0169,-0.0011
19.86,-0.0269,-0.0007,-0.0269,-0.0007
20.92,-0.0468,-0.0007,-0.0468,-0.0007
22.02,-0.0615,-0.0036,-0.0615,-0.0036
23.02,-0.0756,-0.0089,-0.0756,-0.0089
24.12,-0.0917,-0.0184,-0.0917,-0.0184
25.13,-0.1034,-0.0279,-0.1034,-0.0279
25.52,0.3572,0.0672,0.3572,0.0672
26.55,0.3453,0.0555,0.3453,0.0555
27.64,0.3317,0.0358,0.3317,0.0358
28.72,0.3256,0.0222,0.3256,0.0222
29.72,0.3216,0.0077,0.3216,0.0077
30.73,0.3202,-0.0071,0.3202,-0.0071
31.22,0.7173,0.4725,0.7173,0.4725
31.73,0.7653,0.5116,0.7653,0.5116
32.73,0.7743,0.4802,0.7743,0.4802
33.52,0.7422,0.9151,0.7422,0.9151
34.57,0.7379,0.9217,0.7379,0.9217
35.62,0.7278,0.9367,0.7278,0.9367
36.72,0.7248,0.9414,0.7248,0.9414
37.82,0.7188,0.9503,0.7188,0.9503
39.62,0.7159,0.9532,0.7159,0.9532
40.64,0.7116,0.9581,0.7116,0.9581
41.73,0.7073,0.9667,0.7073,0.9667
42.82,0.6895,0.9729,0.6895,0.9729
43.82,0.6755,0.9754,0.6755,0.9754
44.92,0.6401,0.9982,0.6401,0.9982
45.93,0.6400,0.9983,0.6400,0.9983
