elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
12.93,-1.2027,0.3747,-1.4891,0.4640
22.05,-1.0072,-0.1817,-1.3049,-0.2182
32.58,1.8499,-0.8720,2.0451,-1.0999
36.11,-1.5550,0.1927,-1.8549,0.2001
40.74,1.5989,-1.4657,1.6951,-1.7499
51.47,0.5943,1.0295,0.2951,1.0501
53.30,-1.5094,0.4016,-1.8049,0.3501
62.44,1.4143,2.2112,1.4951,2.5001
63.11,0.4664,2.2039,0.2951,2.4501
65.54,2.5498,1.3972,2.8451,1.4501
66.85,0.7531,3.0058,0.6951,3.3001
67.68,2.4315,2.3395,2.6451,2.5501
68.25,1.5395,3.2053,1.5951,3.5001
68.90,3.4173,1.9867,3.6951,2.1001
