elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
19.04,0.0000,0.0000,-0.0069,-0.0006,0.0000,0.0000,-0.0069,-0.0006
22.24,-0.0029,-0.0001,-0.0139,-0.0021,-0.0029,-0.0001,-0.0139,-0.0021
23.24,-0.0177,-0.0018,-0.0218,-0.0044,-0.0177,-0.0018,-0.0218,-0.0044
24.25,-0.0351,-0.0065,-0.0373,-0.0099,-0.0351,-0.0065,-0.0373,-0.0099
25.25,-0.0532,-0.0136,-0.0538,-0.0167,-0.0532,-0.0136,-0.0538,-0.0167
26.35,-0.0776,-0.0276,-0.0750,-0.0328,-0.0776,-0.0276,-0.0750,-0.0328
27.36,-0.0854,-0.0340,-0.0033,-0.0174,-0.0854,-0.0340,-0.0033,-0.0174
28.35,-0.1237,-0.0822,0.0902,0.0021,-0.1237,-0.0822,0.0902,0.0021
28.65,0.3234,0.0705,0.1811,0.0125,0.3234,0.0705,0.1811,0.0125
29.04,0.4141,0.0836,0.3136,0.0580,0.4141,0.0836,0.3136,0.0580
29.76,0.3772,0.0246,0.4579,0.1168,0.3772,0.0246,0.4579,0.1168
30.38,0.5768,0.1933,0.5206,0.1557,0.5768,0.1933,0.5206,0.1557
31.44,0.5979,0.2120,0.5882,0.2280,0.5979,0.2120,0.5882,0.2280
31.64,0.6371,0.2650,0.6592,0.3040,0.6371,0.2650,0.6592,0.3040
31.95,0.7520,0.4451,0.6798,0.3316,0.7520,0.4451,0.6798,0.3316
33.03,0.7322,0.4043,0.7071,0.3715,0.7322,0.4043,0.7071,0.3715
