elapsed_s,x_m,y_m
9.05,0.0000,0.0000
25.30,0.0444,-0.2062
26.30,-0.0260,0.0123
28.20,-0.0120,-0.2302
31.45,-0.0378,0.3361
33.10,-0.0666,0.0982
48.61,-0.1531,-0.0891
53.16,-0.1493,0.1132
54.34,-0.3018,0.2657
54.50,-0.1014,0.3467
56.90,0.1197,0.2916
58.10,0.2310,0.0461
58.40,0.3206,-0.1657
63.30,0.1678,-0.0330
65.00,0.3466,-0.1542
69.10,0.2859,0.0441
71.40,0.3878,-0.2602
77.81,0.2954,-0.0745
79.10,0.3916,-0.2562
82.72,0.5659,-0.1407
85.60,0.3960,-0.2942
86.21,0.2385,-0.4470
92.71,0.4659,-0.3287
94.06,0.2003,-0.5588
95.10,-0.3387,-0.8069
97.61,-0.1513,-0.9880
98.82,-0.3182,-0.8466
106.21,-0.1898,-1.0113
106.80,-0.4538,-0.8628
107.90,-0.6410,-0.6862
108.70,-0.7642,-0.4964
111.03,-0.7541,-0.7130
112.61,-0.8656,-0.5231
113.10,-0.8743,-0.3001
113.70,-0.8689,-0.0816
120.51,-1.0403,-0.2126
121.21,-0.8812,0.0540
124.91,-0.9297,0.2634
126.39,-1.1313,0.2492
127.20,-0.8921,0.1368
127.90,-0.7362,0.0047
134.22,-0.8802,0.1522
137.10,-0.7113,-0.0122
138.81,-0.7725,0.1951
140.60,-0.5989,0.0626
141.91,-0.4882,-0.1109
142.31,-0.4689,-0.3235
143.50,-0.5458,-0.5820
145.40,-0.6767,-0.7761
155.70,-0.8745,-0.8150
156.70,-1.0690,-0.7660
157.01,-1.1790,-1.0472
159.76,-1.3312,-0.8968
160.00,-1.1462,-1.0455
165.30,-0.9883,-1.1965
172.71,-0.8528,-1.3460
174.30,-1.0807,-1.1338
177.54,-1.0251,-0.9303
178.81,-1.0609,-1.1274
185.90,-0.8805,-1.2402
187.20,-0.7970,-1.0401
188.21,-0.9957,-1.0647
188.81,-1.1958,-1.0700
191.61,-1.0648,-1.2404
192.90,-1.3280,-1.1493
193.50,-1.5215,-1.0263
194.10,-1.7052,-0.8841
199.81,-1.5449,-1.0474
201.60,-1.7199,-0.9475
202.31,-1.8783,-0.6971
213.60,-2.0860,-0.7383
216.41,-1.8775,-0.6941
218.10,-1.7028,-0.5954
219.31,-1.5701,-0.4251
219.90,-1.6603,-0.6318
221.10,-1.8134,-0.8082
231.80,-1.9856,-0.9115
236.30,-1.7535,-0.8661
241.82,-1.9546,-0.8050
244.81,-1.7480,-0.8026
245.40,-1.5968,-0.9436
247.30,-1.4922,-0.7700
248.52,-1.4850,-0.9935
255.85,-1.3148,-1.1067
257.01,-1.1012,-1.1240
257.70,-1.3013,-1.0130
258.30,-1.5175,-1.0272
258.90,-1.8539,-0.9961
262.00,-1.6867,-1.1093
264.40,-1.8747,-1.0015
284.20,-1.7887,-1.1829
285.41,-1.7845,-1.3968
286.20,-1.9014,-1.1915
286.61,-1.9143,-0.9903
288.90,-1.9745,-0.7960
290.10,-2.1590,-0.6858
291.40,-2.0100,-0.5494
292.11,-1.8347,-0.6716
298.50,-1.6289,-0.6621
299.71,-1.4260,-0.5940
300.30,-1.5790,-0.7819
301.31,-1.7447,-0.8984
305.00,-1.9638,-0.9591
313.12,-1.7634,-0.8911
