elapsed_s,x_m,y_m
9.91,0.0000,0.0000
20.57,-0.2037,0.0000
22.27,0.0039,-0.0000
24.67,0.2153,-0.0000
25.87,0.4311,-0.0000
26.49,0.2090,-0.0000
28.88,0.0056,-0.0000
30.28,0.2172,-0.0000
31.57,0.4510,-0.0000
32.77,0.2031,-0.0000
33.47,-0.0018,-0.0000
37.17,0.2052,-0.0000
38.37,0.4055,-0.0000
40.47,0.1920,-0.0000
43.27,0.4089,-0.0000
44.67,0.1481,-0.0000
50.38,0.3576,-0.0000
52.57,0.0747,-0.0000
54.87,0.2833,-0.0000
56.07,0.4992,-0.0000
56.87,0.2531,-0.0000
58.57,0.0367,-0.0000
61.79,0.2545,-0.0000
64.57,0.0323,-0.0000
66.58,0.2439,-0.0000
68.01,0.4599,-0.0000
68.97,0.2557,-0.0027
70.67,-0.0012,-0.0015
71.17,-0.2114,0.0008
73.08,-0.0034,0.0015
79.94,0.2053,-0.0051
82.18,0.4221,-0.0176
83.58,0.1898,-0.0122
