metric,value
data_end_x_m,0.5089
data_end_y_m,0.1806
stable_end_x_m,-0.0836
stable_end_y_m,-0.0847
jump_flag,1
jump_distance_m,0.6741055110292453
jump_dt_s,0.5
note,jump_flag=1 means final saved end may not match physical stop; use stable_end_* for stop comparison
