elapsed_s,area_m2,percent_known,known_cells,total_cells
6.97,4.393,79.04,1757,2223
7.34,4.393,79.04,1757,2223
8.34,4.393,79.04,1757,2223
9.57,4.393,79.04,1757,2223
10.59,4.393,79.04,1757,2223
10.99,4.393,79.04,1757,2223
12.03,4.393,79.04,1757,2223
12.99,4.393,79.04,1757,2223
14.24,4.393,79.04,1757,2223
15.10,4.393,79.04,1757,2223
15.98,4.393,79.04,1757,2223
16.98,4.393,79.04,1757,2223
17.99,4.393,79.04,1757,2223
18.99,4.393,79.04,1757,2223
20.01,4.393,79.04,1757,2223
21.00,4.393,79.04,1757,2223
21.98,4.393,79.04,1757,2223
23.00,4.393,79.04,1757,2223
23.99,4.393,79.04,1757,2223
24.98,4.393,79.04,1757,2223
25.98,4.393,79.04,1757,2223
26.98,4.393,79.04,1757,2223
28.00,4.393,79.04,1757,2223
28.98,4.393,79.04,1757,2223
30.24,4.740,85.29,1896,2223
31.38,4.768,85.78,1907,2223
31.99,4.768,85.78,1907,2223
33.01,4.768,85.78,1907,2223
34.57,4.863,85.99,1945,2262
34.98,4.863,85.99,1945,2262
36.01,5.143,65.93,2057,3120
