elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
20.71,-0.0670,0.2187,-0.1549,0.5055
21.30,0.0634,-0.5962,0.0951,-0.8945
22.21,-0.8509,-0.5348,-1.1049,-0.6945
25.56,-1.2686,0.3661,-1.5549,0.4555
26.42,-1.7201,-0.5003,-2.0049,-0.5945
38.08,-1.1133,-0.3239,-1.4049,-0.3945
46.75,-1.1116,0.1926,-1.4049,0.2555
51.18,-1.8264,0.7147,-2.1211,0.7709
54.23,-0.0076,0.6919,-0.2484,0.8709
55.43,-1.8566,-0.3094,-2.1484,-0.3791
71.69,-0.0975,0.6116,-0.2484,0.8709
73.47,-1.0656,-0.1790,-1.3484,-0.2791
83.30,-0.7249,0.6975,-0.9984,0.8209
85.72,-1.6082,0.7449,-1.8984,0.8209
86.59,-1.6586,-0.2514,-1.9484,-0.3291
91.32,-0.0598,0.6375,-0.2484,0.8709
95.34,-1.0604,-0.1950,-1.3484,-0.2791
96.24,0.9683,-0.2966,1.2016,-0.4851
97.42,-0.4783,-1.4602,-0.5984,-1.7351
100.46,-1.2133,0.8214,-1.4984,0.9149
109.03,-0.5055,0.7159,-0.7484,0.8920
110.91,-1.1519,0.0880,-1.4484,0.0420
112.30,0.8055,-0.4960,0.9516,-0.7580
112.45,-1.7550,0.7791,-2.0484,0.8420
