elapsed_s,area_m2,percent_known,known_cells,total_cells
0.93,5.613,57.04,2245,3936
2.60,5.613,57.04,2245,3936
4.35,5.613,57.04,2245,3936
6.66,5.613,57.04,2245,3936
9.32,5.613,57.04,2245,3936
19.64,5.613,57.04,2245,3936
22.79,5.613,57.04,2245,3936
25.96,5.613,57.04,2245,3936
29.10,5.613,57.04,2245,3936
32.20,5.613,57.04,2245,3936
35.33,5.613,57.04,2245,3936
38.44,5.613,57.04,2245,3936
41.58,5.613,57.04,2245,3936
46.24,5.613,57.04,2245,3936
49.40,5.613,57.04,2245,3936
52.49,5.613,57.04,2245,3936
55.59,5.613,57.04,2245,3936
58.67,5.613,57.04,2245,3936
61.79,5.613,57.04,2245,3936
64.86,5.613,57.04,2245,3936
69.53,5.613,57.04,2245,3936
72.73,7.740,78.66,3096,3936
75.87,8.190,83.23,3276,3936
78.96,8.190,83.23,3276,3936
82.13,8.190,83.23,3276,3936
85.19,8.190,83.23,3276,3936
88.35,8.190,83.23,3276,3936
91.44,8.190,83.23,3276,3936
94.60,8.190,83.23,3276,3936
97.66,8.190,83.23,3276,3936
100.75,8.190,83.23,3276,3936
103.82,8.190,83.23,3276,3936
106.94,8.190,83.23,3276,3936
111.72,8.190,83.23,3276,3936
114.94,8.190,83.23,3276,3936
118.02,8.190,83.23,3276,3936
121.22,8.190,83.23,3276,3936
124.32,8.190,83.23,3276,3936
127.42,8.190,83.23,3276,3936
130.56,8.190,83.23,3276,3936
135.28,8.190,83.23,3276,3936
138.58,8.190,83.23,3276,3936
141.67,8.448,85.85,3379,3936
144.77,8.810,89.53,3524,3936
147.86,8.855,89.99,3542,3936
151.22,8.925,90.70,3570,3936
154.35,8.975,91.21,3590,3936
157.44,8.998,91.44,3599,3936
160.55,9.018,91.64,3607,3936
163.68,9.033,91.79,3613,3936
166.75,9.043,91.90,3617,3936
169.90,9.043,91.90,3617,3936
173.07,9.045,91.92,3618,3936
177.75,9.045,91.92,3618,3936
180.85,9.045,91.92,3618,3936
183.95,9.045,91.92,3618,3936
187.05,9.045,91.92,3618,3936
190.13,9.045,91.92,3618,3936
193.22,9.045,91.92,3618,3936
196.41,9.045,91.92,3618,3936
201.17,9.045,91.92,3618,3936
204.46,9.045,91.92,3618,3936
207.53,9.045,91.92,3618,3936
210.63,9.045,91.92,3618,3936
213.79,9.045,91.92,3618,3936
216.88,9.045,91.92,3618,3936
219.95,9.045,91.92,3618,3936
224.63,9.045,91.92,3618,3936
227.81,9.045,91.92,3618,3936
230.92,9.045,91.92,3618,3936
234.07,9.060,92.07,3624,3936
237.16,9.083,92.30,3633,3936
240.25,9.083,92.30,3633,3936
243.34,9.083,92.30,3633,3936
246.43,9.083,92.30,3633,3936
249.57,9.083,92.30,3633,3936
252.71,9.083,92.30,3633,3936
255.85,9.083,92.30,3633,3936
258.93,9.083,92.30,3633,3936
262.02,9.083,92.30,3633,3936
266.91,9.083,92.30,3633,3936
270.05,9.113,92.61,3645,3936
273.15,9.113,92.61,3645,3936
276.25,9.113,92.61,3645,3936
279.33,9.113,92.61,3645,3936
282.44,9.113,92.61,3645,3936
285.54,9.113,92.61,3645,3936
288.64,9.113,92.61,3645,3936
291.77,9.113,92.61,3645,3936
294.95,9.135,92.84,3654,3936
298.05,9.135,92.84,3654,3936
301.12,9.135,92.84,3654,3936
304.25,9.135,92.84,3654,3936
307.34,9.135,92.84,3654,3936
310.42,9.135,92.84,3654,3936
313.55,9.135,92.84,3654,3936
316.63,9.163,91.21,3665,4018
319.73,9.163,91.21,3665,4018
322.82,9.163,91.21,3665,4018
327.62,9.163,91.21,3665,4018
330.84,9.163,91.21,3665,4018
333.98,9.163,91.21,3665,4018
337.11,9.163,91.21,3665,4018
340.22,9.163,91.21,3665,4018
343.31,9.163,91.21,3665,4018
346.44,9.163,91.21,3665,4018
351.12,9.163,91.21,3665,4018
354.24,9.163,91.21,3665,4018
357.33,9.163,91.21,3665,4018
360.48,9.163,91.21,3665,4018
363.62,9.163,91.21,3665,4018
366.75,9.163,91.21,3665,4018
369.85,9.163,91.21,3665,4018
374.52,9.163,91.21,3665,4018
377.72,9.208,91.66,3683,4018
380.83,9.220,91.79,3688,4018
383.94,9.220,91.79,3688,4018
387.12,9.220,91.79,3688,4018
390.23,9.220,91.79,3688,4018
393.34,9.220,91.79,3688,4018
398.09,9.220,91.79,3688,4018
401.27,9.220,91.79,3688,4018
404.44,9.220,91.79,3688,4018
407.53,9.220,91.79,3688,4018
410.70,9.220,91.79,3688,4018
413.97,9.425,90.84,3770,4150
417.10,9.448,91.06,3779,4150
417.99,9.458,91.16,3783,4150
419.99,9.458,91.16,3783,4150
423.95,9.458,89.37,3780,4233
427.04,9.458,89.37,3780,4233
430.24,9.485,89.63,3794,4233
433.33,9.498,89.75,3799,4233
436.47,9.523,89.98,3809,4233
439.55,9.525,90.01,3810,4233
442.84,9.535,90.10,3814,4233
