elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
23.68,-2.6041,-0.7380,-2.9409,-0.8334
47.49,-1.8520,0.4790,-2.1909,0.5666
71.18,0.3489,-1.0512,0.4591,-1.3834
114.27,-2.7257,-0.5683,-3.0323,-0.7372
167.62,-2.5981,0.8977,-2.9323,1.0017
185.91,-2.6839,0.0687,-3.0323,0.1017
195.63,2.1941,-0.7222,2.5177,-0.8555
200.00,1.9304,0.1511,2.2677,0.2445
213.03,-2.7370,-0.7481,-3.0823,-0.8055
222.31,1.5097,-1.2746,1.6177,-1.6076
237.96,-1.8952,1.0985,-2.2323,1.1924
250.67,1.9677,0.5924,1.9677,0.5924
266.31,-2.7323,0.3391,-3.0823,0.3424
278.93,-2.7449,-0.7146,-3.0823,-0.8076
291.62,2.2468,-1.2861,2.4677,-1.5576
308.83,-2.5425,1.1656,-2.8823,1.2496
321.51,3.3198,0.5611,3.6677,0.5996
327.88,2.6301,-0.1579,2.9677,-0.2504
346.21,0.5598,-1.2834,0.4677,-1.6211
357.79,-2.7327,-0.0748,-3.0823,-0.0923
370.74,1.6469,-1.8138,1.7677,-2.1423
386.89,0.4870,2.3147,0.4177,2.6577
399.94,3.3694,0.6229,3.7177,0.6577
413.82,1.6477,2.4790,1.7677,2.8077
432.22,0.5781,-1.5975,0.5177,-1.9423
442.72,1.6554,-1.8108,1.7677,-2.1423
455.42,-0.2743,1.9762,-0.4823,2.2577
470.49,-2.7328,-0.0733,-3.0823,-0.0923
483.39,0.2936,2.8661,0.2177,3.2077
496.48,1.7067,2.5258,1.8177,2.8577
514.47,3.0179,0.2019,3.3677,0.2125
527.78,1.6503,-1.8578,1.7677,-2.1875
540.74,0.5873,-1.5945,0.5177,-1.9375
558.32,0.3678,1.9771,0.2677,2.3125
582.91,1.7057,2.5309,1.8177,2.8625
698.41,1.3898,-2.9191,1.4601,-3.2620
712.38,3.3202,-0.5281,3.6601,-0.6120
726.42,1.6202,-1.7411,1.7601,-2.0620
740.49,0.7476,-2.2622,0.7601,-2.6120
754.05,3.7613,0.2180,4.1101,0.1880
772.44,1.3952,-2.9180,1.4601,-3.2620
785.77,3.2294,1.7234,3.5601,1.8380
798.76,0.0399,3.5973,-0.0399,3.9380
817.11,1.6398,-1.7333,1.7601,-2.0620
830.84,3.4390,-0.3225,3.7601,-0.4620
844.37,3.5625,0.5296,3.9101,0.4880
862.86,1.3954,-2.9180,1.4601,-3.2620
876.69,0.7524,-2.2621,0.7601,-2.6120
890.26,3.2284,1.7261,3.5601,1.8380
909.77,3.4537,-0.2928,3.7601,-0.4620
934.56,3.5625,0.5293,3.9101,0.4880
940.77,1.6395,-1.7334,1.7601,-2.0620
947.00,2.4839,2.2730,2.7601,2.4880
