elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
22.03,-0.3689,-1.8763,-0.6004,-3.0537
58.69,-0.4555,-2.9835,-0.5790,-4.1771
59.21,-1.1315,-0.6304,-1.9290,-1.5271
64.18,0.2018,-1.0473,0.4210,-2.2271
64.70,-0.4354,0.5467,-1.6290,0.4229
224.97,0.6009,-2.3344,1.1214,-3.4157
245.55,0.5960,-3.8037,0.9714,-4.9435
296.41,-1.7856,0.6000,-2.6286,1.4540
319.69,-0.8997,-1.8223,-1.1499,-2.9960
338.08,-2.9147,-0.3265,-4.1076,-0.1960
368.64,1.0575,-0.1356,2.2424,0.0540
390.14,1.8674,-1.1127,2.9424,-1.6460
