elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
23.88,-1.2476,0.2871,-1.5887,0.3656
49.90,-0.2349,-1.6885,-0.2887,-2.0344
67.41,0.1613,-0.8909,0.1613,-0.8909
80.25,0.1613,-0.8909,0.1613,-0.8909
93.39,0.1613,-0.8909,0.1613,-0.8909
111.17,-0.7351,-2.9566,-0.8387,-3.2909
123.82,-1.5748,-1.5110,-1.8387,-1.7409
136.44,-0.0517,-2.2429,-0.0887,-2.5909
153.07,-0.7849,-1.8614,-0.9387,-2.1759
165.83,-0.9137,-0.8093,-1.1887,-1.0259
179.18,0.1155,-1.3759,0.1113,-1.7259
195.15,-0.2029,-3.1777,-0.2387,-3.5259
207.91,-0.5887,-0.5259,-0.5887,-0.5259
