elapsed_s,x_m,y_m
7.43,0.0000,0.0000
40.36,-0.0907,0.5575
168.90,-0.3411,0.4327
187.21,-0.5208,0.5741
190.60,-0.3872,0.3862
196.78,-0.3923,0.1238
198.30,-0.4243,-0.4672
205.40,-0.3014,-0.1125
210.71,-0.1881,0.0772
212.55,0.0696,0.5088
214.70,-0.1127,0.2496
216.90,0.1373,0.2005
219.71,-0.4425,0.1256
245.40,-0.7234,0.2028
263.91,-0.5941,0.0398
281.96,-0.5280,-0.2784
296.07,-0.3764,-0.8278
314.30,-0.0931,-0.5779
316.44,-0.3250,-0.5517
318.51,-0.6437,-0.4132
341.30,-0.5511,-0.6582
355.80,-0.2902,-0.5771
356.90,-0.4524,-0.8315
359.60,-0.3688,-0.5622
368.52,-0.2181,-0.3398
383.30,-0.1072,-0.1045
