elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
21.71,-1.9791,-2.1890,-2.2138,-2.4486
45.66,-0.7765,-0.8414,-1.0138,-1.0986
69.47,0.0560,-1.3999,0.0862,-1.7486
90.50,-0.9618,0.3445,-1.2951,0.4514
114.65,-1.2122,-1.7726,-1.4169,-2.0565
157.38,-0.7620,-3.0226,-0.8669,-3.3565
192.84,-0.2135,-2.3392,-0.2669,-2.6851
208.78,-1.8793,-2.6534,-2.0669,-2.9489
215.62,-1.5188,-0.7656,-1.8169,-0.9489
229.41,-1.7511,-1.6212,-2.0169,-1.8489
242.03,0.1614,-1.0996,0.1831,-1.4489
259.25,-0.8444,-2.9386,-0.9669,-3.2665
