elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
23.95,0.7311,0.2316,0.7311,0.2316
39.75,0.6811,0.7152,0.6811,0.7152
63.10,0.6281,0.6652,0.6281,0.6652
73.27,0.7155,0.4152,0.7155,0.4152
116.18,0.9587,-0.3623,1.2609,-0.5389
139.59,0.9609,0.4611,0.9609,0.4611
163.02,0.2609,0.3611,0.2609,0.3611
205.64,0.9708,-0.3731,1.2713,-0.5525
222.89,-0.1658,2.1736,-0.0331,2.4975
235.63,0.8840,0.9893,1.2169,1.0975
248.25,-2.0595,-0.0692,-2.3831,-0.2025
264.24,-1.5438,0.8118,-1.8831,0.8975
276.98,-0.4749,1.3500,-0.4331,1.6975
289.51,1.0022,-0.1993,1.3169,-0.3525
307.22,-0.1465,2.1664,-0.0331,2.4975
