elapsed_s,area_m2,percent_known,known_cells,total_cells
1.78,5.605,51.95,2242,4316
3.71,5.605,51.95,2242,4316
6.01,5.605,51.95,2242,4316
7.86,5.605,51.95,2242,4316
9.49,5.605,51.95,2242,4316
21.77,5.605,51.95,2242,4316
24.97,5.605,51.95,2242,4316
28.09,5.605,51.95,2242,4316
31.26,5.605,51.95,2242,4316
34.37,5.605,51.95,2242,4316
37.57,5.605,51.95,2242,4316
40.71,5.605,51.95,2242,4316
43.88,5.605,51.95,2242,4316
48.56,5.605,51.95,2242,4316
51.82,5.605,51.95,2242,4316
53.66,8.183,75.83,3273,4316
58.74,8.918,81.66,3567,4368
62.05,9.093,83.26,3637,4368
65.46,9.150,82.81,3660,4420
68.66,9.150,82.81,3660,4420
71.79,9.250,82.13,3700,4505
74.92,9.250,82.13,3700,4505
78.16,9.323,82.77,3729,4505
81.49,9.373,83.22,3749,4505
84.67,9.373,83.22,3749,4505
87.94,9.400,83.46,3760,4505
91.11,9.415,83.60,3766,4505
94.27,9.478,82.59,3791,4590
97.53,9.525,83.01,3810,4590
100.82,9.568,83.38,3827,4590
103.93,9.585,83.53,3834,4590
107.06,9.585,83.53,3834,4590
110.16,9.585,83.53,3834,4590
113.34,9.585,83.53,3834,4590
116.42,9.585,83.53,3834,4590
121.23,9.585,83.53,3834,4590
124.58,9.585,83.53,3834,4590
127.74,9.585,83.53,3834,4590
130.96,9.585,83.53,3834,4590
134.10,9.585,83.53,3834,4590
137.27,9.585,83.53,3834,4590
140.33,9.585,83.53,3834,4590
145.11,9.585,83.53,3834,4590
148.26,9.585,83.53,3834,4590
151.40,9.585,83.53,3834,4590
154.56,9.585,83.53,3834,4590
157.66,9.585,83.53,3834,4590
160.83,9.585,83.53,3834,4590
163.92,9.585,83.53,3834,4590
168.62,9.585,83.53,3834,4590
171.82,9.585,83.53,3834,4590
175.04,9.590,83.57,3836,4590
178.15,9.593,83.59,3837,4590
181.48,9.593,83.59,3837,4590
184.62,9.593,83.59,3837,4590
187.78,9.593,83.59,3837,4590
190.87,9.593,83.59,3837,4590
194.12,9.593,83.59,3837,4590
197.80,9.593,83.59,3837,4590
200.94,9.593,83.59,3837,4590
204.00,9.593,83.59,3837,4590
205.61,9.593,83.59,3837,4590
207.16,9.593,83.59,3837,4590
210.60,9.593,83.59,3837,4590
213.73,9.593,83.59,3837,4590
216.81,9.593,83.59,3837,4590
219.94,9.593,83.59,3837,4590
223.04,9.593,83.59,3837,4590
226.12,9.593,83.59,3837,4590
229.23,9.593,83.59,3837,4590
233.91,9.593,83.59,3837,4590
237.22,9.593,83.59,3837,4590
240.34,9.593,83.59,3837,4590
243.47,9.593,83.59,3837,4590
246.59,9.593,83.59,3837,4590
249.83,9.593,83.59,3837,4590
252.92,9.593,83.59,3837,4590
257.67,9.593,83.59,3837,4590
260.91,9.593,83.59,3837,4590
264.01,9.593,83.59,3837,4590
265.19,9.593,83.59,3837,4590
267.21,9.593,83.59,3837,4590
270.67,9.593,83.59,3837,4590
273.79,9.593,83.59,3837,4590
276.99,9.593,83.59,3837,4590
280.10,9.593,83.59,3837,4590
281.15,9.593,83.59,3837,4590
286.07,9.593,83.59,3837,4590
289.58,9.595,83.62,3838,4590
292.86,9.595,83.62,3838,4590
293.16,9.595,83.62,3838,4590
295.18,9.595,83.62,3838,4590
297.16,9.595,83.62,3838,4590
300.95,9.595,83.62,3838,4590
304.10,9.595,83.62,3838,4590
307.42,9.595,83.62,3838,4590
310.61,9.595,83.62,3838,4590
313.73,9.595,83.62,3838,4590
316.86,9.595,83.62,3838,4590
320.05,9.595,83.62,3838,4590
323.18,9.595,83.62,3838,4590
326.31,9.595,83.62,3838,4590
329.42,9.595,83.62,3838,4590
331.18,9.595,83.62,3838,4590
333.17,9.595,83.62,3838,4590
337.37,9.595,83.62,3838,4590
340.44,9.595,83.62,3838,4590
343.62,9.595,83.62,3838,4590
346.73,9.595,83.62,3838,4590
350.01,9.595,83.62,3838,4590
353.11,9.595,83.62,3838,4590
356.24,9.595,83.62,3838,4590
359.38,9.595,83.62,3838,4590
362.54,9.595,83.62,3838,4590
365.64,9.595,83.62,3838,4590
368.72,9.595,83.62,3838,4590
369.18,9.595,83.62,3838,4590
