elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
22.74,-2.8407,0.2720,-3.1891,0.3054
46.15,-1.9009,0.5153,-2.2391,0.6054
69.45,-1.0713,-0.4479,-1.3891,-0.5946
111.65,-2.8165,-0.8210,-3.1440,-0.9446
135.23,-2.4064,0.9630,-2.7440,1.0554
177.71,-2.9641,0.3385,-3.2940,0.4554
201.03,-2.8945,-0.9247,-3.2440,-0.9446
224.56,-2.1504,-0.3116,-2.4940,-0.2446
266.84,-2.9211,0.6702,-3.2440,0.8054
327.55,-2.9022,-0.8690,-3.2440,-0.9446
351.09,-2.8941,-0.0066,-3.2440,0.0035
374.44,-1.3223,-0.9085,-1.6440,-1.0465
398.02,-2.6619,0.9429,-2.9940,1.0535
423.85,-2.9000,-0.8796,-3.2440,-0.9447
