elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
24.86,-1.0342,-0.5960,-1.3374,-0.7707
48.48,0.9126,0.4293,0.9126,0.4293
58.52,-1.6937,-1.3925,-1.9874,-1.5828
121.13,-2.1767,0.2558,-2.5230,0.3065
144.98,1.0496,-1.3175,1.1770,-1.6435
168.53,1.2770,0.4065,1.2770,0.4065
181.42,1.2770,0.1065,1.2770,0.1065
194.03,1.2770,0.4065,1.2770,0.4065
210.51,-2.0743,0.3267,-2.4230,0.3565
233.86,1.0685,-1.3107,1.1770,-1.6435
257.54,1.2770,0.4065,1.2770,0.4065
260.85,1.2770,0.4065,1.2770,0.4065
270.63,1.2770,0.4065,1.2770,0.4065
285.95,1.2770,0.4065,1.2770,0.4065
300.91,-2.0730,0.3558,-2.4230,0.3565
307.22,1.1770,-1.6435,1.1770,-1.6435
319.98,1.1770,-1.6435,1.1770,-1.6435
337.30,1.1770,-1.6435,1.1770,-1.6435
349.91,1.1770,-1.6435,1.1770,-1.6435
359.33,1.1770,-1.6435,1.1770,-1.6435
376.41,-2.0731,0.3498,-2.4230,0.3565
399.92,1.1236,0.0310,1.4270,-0.1435
428.43,1.1770,-1.6435,1.1770,-1.6435
457.72,1.1770,-1.6435,1.1770,-1.6435
470.31,1.1770,-1.6435,1.1770,-1.6435
482.91,1.1770,-1.6435,1.1770,-1.6435
503.24,-2.0731,0.3512,-2.4230,0.3565
547.72,1.2770,0.1065,1.2770,0.1065
562.98,1.1196,-1.2983,1.1770,-1.6435
583.97,1.2770,0.1065,1.2770,0.1065
596.49,-2.0778,0.4141,-2.4230,0.3565
614.77,1.2770,0.1065,1.2770,0.1065
635.87,1.1122,-1.2996,1.1770,-1.6435
659.09,1.1966,-0.0934,1.1966,-0.0934
671.58,1.1966,-0.0934,1.1966,-0.0934
696.38,1.2824,0.1066,1.2824,0.1066
705.81,-2.2218,0.2962,-2.5676,0.3498
718.49,1.2824,0.1195,1.2824,0.1195
741.71,0.9281,-1.3399,1.1824,-1.5805
765.00,1.2824,0.1195,1.2824,0.1195
784.23,1.2824,0.1195,1.2824,0.1195
807.49,1.2824,0.1195,1.2824,0.1195
830.79,0.9314,-1.3365,1.1824,-1.5805
854.12,1.2824,0.1195,1.2824,0.1195
877.39,1.2824,0.1195,1.2824,0.1195
919.30,0.8990,-1.3750,1.1824,-1.5805
942.69,1.1824,-1.5805,1.1824,-1.5805
965.90,1.1824,-1.5805,1.1824,-1.5805
1007.87,-2.0901,0.2154,-2.4176,0.3387
1031.19,1.0974,-0.9099,1.4324,-1.0113
1111.06,1.2782,-2.0129,1.3121,-2.3613
1123.61,-1.0031,0.7869,-1.3379,0.8887
