elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
26.04,0.0000,0.0000,-0.0300,-0.0005,0.0000,0.0000,-0.0300,-0.0005
28.03,-0.0158,-0.0002,-0.0565,-0.0016,-0.0158,-0.0002,-0.0565,-0.0016
28.53,-0.0743,-0.0014,-0.0771,-0.0030,-0.0743,-0.0014,-0.0771,-0.0030
29.54,-0.1358,-0.0048,-0.1130,-0.0059,-0.1358,-0.0048,-0.1130,-0.0059
30.63,-0.1595,-0.0084,-0.1484,-0.0102,-0.1595,-0.0084,-0.1484,-0.0102
31.64,-0.1794,-0.0147,-0.1790,-0.0194,-0.1794,-0.0147,-0.1790,-0.0194
32.71,-0.1931,-0.0216,-0.1021,-0.0112,-0.1931,-0.0216,-0.1021,-0.0112
33.75,-0.2272,-0.0474,-0.0095,-0.0035,-0.2272,-0.0474,-0.0095,-0.0035
34.23,0.2487,0.0359,0.0775,-0.0055,0.2487,0.0359,0.0775,-0.0055
34.55,0.3033,0.0304,0.1600,-0.0169,0.3033,0.0304,0.1600,-0.0169
35.24,0.2558,-0.0246,0.3064,0.0204,0.2558,-0.0246,0.3064,0.0204
36.05,0.2193,-0.0790,0.3584,0.0335,0.2193,-0.0790,0.3584,0.0335
36.24,0.5049,0.1393,0.3962,0.0343,0.5049,0.1393,0.3962,0.0343
37.31,0.5089,0.1015,0.4841,0.1024,0.5089,0.1015,0.4841,0.1024
37.84,0.4922,0.0341,0.5784,0.1679,0.4922,0.0341,0.5784,0.1679
38.03,0.6952,0.3160,0.6339,0.2289,0.6952,0.3160,0.6339,0.2289
38.91,0.6906,0.2487,0.6896,0.2941,0.6906,0.2487,0.6896,0.2941
39.13,0.7824,0.4440,0.7581,0.4269,0.7824,0.4440,0.7581,0.4269
40.14,0.7877,0.4279,0.7880,0.5022,0.7877,0.4279,0.7880,0.5022
40.34,0.8345,0.6978,0.8160,0.6015,0.8345,0.6978,0.8160,0.6015
41.44,0.8450,0.6927,0.8238,0.6631,0.8450,0.6927,0.8238,0.6631
41.84,0.8307,0.7449,0.8207,0.7178,0.8307,0.7449,0.8207,0.7178
42.84,0.8212,0.7522,0.8018,0.7159,0.8212,0.7522,0.8018,0.7159
43.23,0.7723,0.7015,0.7672,0.7108,0.7723,0.7015,0.7672,0.7108
44.24,0.7397,0.6881,0.7234,0.6943,0.7397,0.6881,0.7234,0.6943
44.55,0.6722,0.6675,0.6990,0.6798,0.6722,0.6675,0.6990,0.6798
45.38,0.6119,0.6623,0.6746,0.6726,0.6119,0.6623,0.6746,0.6726
