elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
7.08,-0.6251,-0.2069,-0.9099,-0.3011
7.67,-0.1511,0.7547,-0.2099,1.0489
8.27,-0.0461,-1.0014,-0.0599,-1.3011
12.00,-0.8509,-1.0967,-1.0099,-1.3511
21.77,-0.9081,-0.2102,-1.1940,-0.3011
23.34,0.2013,1.0500,0.2268,1.3489
24.20,-0.3826,-0.9361,-0.5232,-1.2011
24.70,-1.4458,0.6348,-1.7232,0.7489
30.64,-1.3262,-1.0595,-1.5571,-1.2511
35.36,-0.9697,-0.0863,-1.2693,-0.1011
35.89,-0.6213,1.2380,-0.7693,1.4989
37.47,-0.0894,-1.0120,-0.1693,-1.3011
39.17,0.2233,1.0490,0.2307,1.3489
47.62,-1.0874,-0.8140,-1.3693,-0.9165
48.11,-1.7331,0.0721,-2.0081,0.1919
49.83,-0.7569,1.2464,-0.8081,1.5419
59.78,0.3992,-0.5241,0.6919,-0.4581
60.32,-1.3669,-0.4799,-1.6581,-0.4081
61.52,-0.0195,1.2483,0.0419,1.5419
61.95,-1.7224,0.3065,-1.9581,0.4919
71.57,-1.2208,1.4339,-1.3737,1.6919
73.58,0.3823,-0.2213,0.5263,0.0419
74.86,-1.3817,-0.4768,-1.6737,-0.4081
75.31,0.1682,1.2421,0.1763,1.5419
