elapsed_s,frontier_x_m,frontier_y_m
4.99,0.0505,-0.6654
4.99,-1.2495,-0.7154
4.99,0.7005,-0.7154
4.99,-0.9995,-0.6154
4.99,0.4505,-0.4654
4.99,0.2005,-0.3654
4.99,0.5505,-0.1654
4.99,0.3005,-0.1154
4.99,-0.4995,0.1346
4.99,-1.5495,0.5346
4.99,0.2505,0.6346
4.99,0.5505,0.5846
4.99,-1.2995,0.6846
4.99,-1.0995,0.7346
4.99,0.7505,0.6846
4.99,-1.3995,0.7346
4.99,0.6005,0.7346
7.85,0.0505,-0.6654
7.85,-1.2495,-0.7154
7.85,0.7005,-0.7154
7.85,-0.9995,-0.6154
7.85,0.4505,-0.4654
7.85,0.2005,-0.3654
7.85,0.5505,-0.1654
7.85,0.3005,-0.1154
7.85,-0.4995,0.1346
7.85,-1.5495,0.5346
7.85,0.2505,0.6346
7.85,0.5505,0.5846
7.85,-1.2995,0.6846
7.85,-1.0995,0.7346
7.85,0.7505,0.6846
7.85,-1.3995,0.7346
7.85,0.6005,0.7346
9.07,0.0505,-0.6654
9.07,-1.2495,-0.7154
9.07,0.7005,-0.7154
9.07,-0.9995,-0.6154
9.07,0.4505,-0.4654
9.07,0.2005,-0.3654
9.07,0.5505,-0.1654
9.07,0.3005,-0.1154
9.07,-0.4995,0.1346
9.07,-1.5495,0.5346
9.07,0.2505,0.6346
9.07,0.5505,0.5846
9.07,-1.2995,0.6846
9.07,-1.0995,0.7346
9.07,0.7505,0.6846
9.07,-1.3995,0.7346
9.07,0.6005,0.7346
11.68,0.0505,-0.6654
11.68,-1.2495,-0.7154
11.68,0.7005,-0.7154
11.68,-0.9995,-0.6154
11.68,0.4505,-0.4654
11.68,0.2005,-0.3654
11.68,0.5505,-0.1654
11.68,0.3005,-0.1154
11.68,-0.4995,0.1346
11.68,-1.5495,0.5346
11.68,0.2505,0.6346
11.68,0.5505,0.5846
11.68,-1.2995,0.6846
11.68,-1.0995,0.7346
11.68,0.7505,0.6846
11.68,-1.3995,0.7346
11.68,0.6005,0.7346
12.68,0.0505,-0.6654
12.68,-1.2495,-0.7154
12.68,0.7005,-0.7154
12.68,-0.9995,-0.6154
12.68,0.4505,-0.4654
12.68,0.2005,-0.3654
12.68,0.5505,-0.1654
12.68,0.3005,-0.1154
12.68,-0.4995,0.1346
12.68,-1.5495,0.5346
12.68,0.2505,0.6346
12.68,0.5505,0.5846
12.68,-1.2995,0.6846
12.68,-1.0995,0.7346
12.68,0.7505,0.6846
12.68,-1.3995,0.7346
12.68,0.6005,0.7346
14.93,0.0505,-0.6654
14.93,-1.2495,-0.7154
14.93,0.7005,-0.7154
14.93,-0.9995,-0.6154
14.93,0.4505,-0.4654
14.93,0.2005,-0.3654
14.93,0.5505,-0.1654
14.93,0.3005,-0.1154
14.93,-0.4995,0.1346
14.93,-1.5495,0.5346
14.93,0.2505,0.6346
14.93,0.5505,0.5846
14.93,-1.2995,0.6846
14.93,-1.0995,0.7346
14.93,0.7505,0.6846
14.93,-1.3995,0.7346
14.93,0.6005,0.7346
16.45,0.0505,-0.6654
16.45,-1.2495,-0.7154
16.45,0.7005,-0.7154
16.45,-0.9995,-0.6154
16.45,0.4505,-0.4654
16.45,0.2005,-0.3654
16.45,0.5505,-0.1654
16.45,0.3005,-0.1154
16.45,-0.4995,0.1346
16.45,-1.5495,0.5346
16.45,0.2505,0.6346
16.45,0.5505,0.5846
16.45,-1.2995,0.6846
16.45,-1.0995,0.7346
16.45,0.7505,0.6846
16.45,-1.3995,0.7346
16.45,0.6005,0.7346
19.32,0.0505,-0.6654
19.32,-1.2495,-0.7154
19.32,0.7005,-0.7154
19.32,-0.9995,-0.6154
19.32,0.4505,-0.4654
19.32,0.2005,-0.3654
19.32,0.5505,-0.1654
19.32,0.3005,-0.1154
19.32,-0.4995,0.1346
19.32,-1.5495,0.5346
19.32,0.2505,0.6346
19.32,0.5505,0.5846
19.32,-1.2995,0.6846
19.32,-1.0995,0.7346
19.32,0.7505,0.6846
19.32,-1.3995,0.7346
19.32,0.6005,0.7346
21.04,0.0505,-0.6654
21.04,-1.2495,-0.7154
21.04,0.7005,-0.7154
21.04,-0.9995,-0.6154
21.04,0.4505,-0.4654
21.04,0.2005,-0.3654
21.04,0.5505,-0.1654
21.04,0.3005,-0.1154
21.04,-0.4995,0.1346
21.04,-1.5495,0.5346
21.04,0.2505,0.6346
21.04,0.5505,0.5846
21.04,-1.2995,0.6846
21.04,-1.0995,0.7346
21.04,0.7505,0.6846
21.04,-1.3995,0.7346
21.04,0.6005,0.7346
24.12,0.3397,-0.8319
24.12,-1.2103,-0.9319
24.12,-1.3603,-0.5819
24.12,-1.0103,-0.7819
24.12,0.7397,-0.7319
24.12,0.4897,-0.5319
24.12,0.2897,-0.5319
24.12,0.6897,-0.4319
24.12,0.5897,-0.2319
24.12,-1.3103,0.3181
24.12,0.2397,0.6181
24.12,0.6897,0.7181
24.12,0.3397,0.7681
25.28,-0.7151,-1.6929
25.28,0.5849,-1.5429
25.28,0.6349,-1.2429
25.28,0.7849,-1.3929
25.28,0.6849,-1.0929
25.28,-1.5151,-0.6429
25.28,-0.9651,-0.2429
25.28,-1.5651,0.4071
28.29,-0.5651,-1.5494
28.29,0.5349,-1.4994
28.29,-1.5151,-0.6494
28.29,-1.5151,0.4006
31.03,-0.5151,-1.5601
31.03,0.4849,-1.5101
31.03,-1.5151,-0.9101
31.03,-1.5151,-0.6601
31.03,-1.4151,-0.8601
31.03,-1.5151,0.3899
32.70,-0.5151,-1.5601
32.70,0.4849,-1.5101
32.70,-1.5151,-0.9101
32.70,-1.5151,-0.6601
32.70,-1.4151,-0.8601
32.70,-1.5151,0.3899
35.66,-0.5151,-1.5601
35.66,0.4849,-1.5101
35.66,-1.5151,-0.9101
35.66,-1.5151,-0.6601
35.66,-1.4151,-0.8601
35.66,-1.1151,-0.1601
35.66,-1.2151,0.0399
35.66,-1.0651,0.0399
35.66,-1.4151,0.2899
35.66,-1.5151,0.3899
35.66,1.0849,0.3899
35.66,-1.8151,0.4899
35.66,1.1849,0.4899
35.66,1.2849,0.5399
35.66,1.3349,0.7899
35.66,-0.9651,0.8899
35.66,-0.8151,0.9399
35.66,-0.5651,1.0399
35.66,0.2349,1.5899
35.66,0.0349,1.6899
40.14,-0.5438,-1.6601
40.14,0.5062,-1.5101
40.14,-0.2438,-1.1601
40.14,-1.9438,-0.8601
40.14,-1.5938,-0.5101
40.14,-2.0438,-0.3601
40.14,-1.4938,-0.1101
40.14,-1.5938,-0.0101
40.14,-1.5938,0.1399
40.14,-1.6438,0.3899
40.14,-2.1438,0.5399
40.14,1.3562,0.7399
40.14,1.0062,0.7399
40.14,0.3562,0.9399
40.14,-1.1938,0.9399
40.14,-2.2438,0.9899
40.14,-1.0938,1.1399
40.14,0.5062,1.6399
40.14,0.6562,1.1399
40.14,-0.8438,1.6899
40.14,0.3062,1.4899
40.14,0.1062,1.5399
40.14,0.1062,1.6399
40.14,0.0062,1.7399
41.68,-0.5706,-1.6601
41.68,0.4794,-1.5101
41.68,-0.2206,-1.1601
41.68,-1.9206,-0.8601
41.68,-1.8706,-0.6601
41.68,-1.6706,-0.6601
41.68,-2.0206,-0.6101
41.68,-1.5706,-0.6101
41.68,-1.4706,-0.5601
41.68,-2.1206,-0.3101
41.68,-1.5206,-0.1101
41.68,-1.6206,-0.0101
41.68,-1.5706,0.1399
41.68,-1.5706,0.3399
41.68,-1.8706,0.4899
41.68,-2.3206,0.7399
41.68,1.3294,0.7899
41.68,-2.1706,0.8399
41.68,0.4294,1.5399
41.68,0.5294,0.9399
41.68,-1.2206,0.9899
41.68,-0.8706,1.6399
43.50,-0.5706,-1.6601
43.50,0.4794,-1.5101
43.50,-0.2206,-1.1601
43.50,-2.0706,-0.8601
43.50,-2.2206,-0.8101
43.50,-1.9706,-0.8101
43.50,-2.1206,-0.3101
43.50,-1.5206,-0.1101
43.50,-1.6206,-0.0101
43.50,-1.5706,0.1399
43.50,-2.1706,0.4399
43.50,-1.5706,0.3399
43.50,1.3294,0.7899
43.50,0.4294,1.5399
43.50,0.5294,0.9399
43.50,-1.2206,0.9899
43.50,-0.8706,1.6399
45.52,-0.5706,-1.6601
45.52,0.4794,-1.5101
45.52,-0.2206,-1.1601
45.52,-2.0206,-1.1601
45.52,-1.5706,-1.0601
45.52,-2.0706,-0.8601
45.52,-2.2206,-0.8101
45.52,-1.9706,-0.8101
45.52,-2.1206,-0.3101
45.52,-1.5206,-0.1101
45.52,-1.6206,-0.0101
45.52,-2.1706,0.1399
45.52,-2.5206,0.2399
45.52,-2.3206,0.3399
45.52,-2.4706,0.5399
45.52,1.3294,0.7899
45.52,0.4294,1.5399
45.52,0.5294,0.9399
45.52,-1.2206,0.9899
45.52,-0.8706,1.6399
50.25,-0.5706,-1.6601
50.25,0.4794,-1.5101
50.25,-0.2206,-1.1601
50.25,-2.0206,-1.1601
50.25,-1.5706,-1.0601
50.25,-2.3206,-0.8101
50.25,-2.1206,-0.3101
50.25,-1.5206,-0.1101
50.25,-1.6206,-0.0101
50.25,-2.1706,0.1399
50.25,-2.5206,0.2399
50.25,-2.3206,0.3399
