elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
19.26,0.0562,-0.1024,0.2005,-0.3654
19.58,-0.7440,-0.4581,-0.9995,-0.6154
19.95,-1.0341,0.5448,-1.2995,0.6846
25.46,0.4916,-0.8635,0.6849,-1.0929
26.71,-0.6220,-1.4077,-0.7151,-1.6929
27.91,-1.2533,-0.4964,-1.5151,-0.6429
34.27,0.4058,-1.3264,0.4849,-1.5101
35.77,-0.5491,0.7403,-0.5651,1.0399
36.56,-0.8612,-0.0003,-1.1151,-0.1601
37.62,0.7855,0.3703,1.0849,0.3899
37.68,0.1275,1.3098,0.2349,1.5899
39.26,-1.6161,0.4700,-1.8151,0.4899
40.50,-1.7059,-0.6772,-1.9438,-0.8601
45.72,0.2896,0.7596,0.5294,0.9399
46.22,-0.7947,1.3497,-0.8706,1.6399
46.68,-0.5456,-1.3611,-0.5706,-1.6601
48.39,-1.3248,0.0396,-1.6206,-0.0101
51.36,0.3484,-1.2402,0.4794,-1.5101
59.42,0.2963,0.7511,0.5294,0.9399
61.19,-1.0232,0.7640,-1.2206,0.9899
63.41,-1.3592,-0.8472,-1.5706,-1.0601
