elapsed_s,x_m,y_m
12.15,0.0000,0.0000
46.67,0.1002,-0.1966
48.38,-0.0902,-0.2604
49.77,-0.2979,-0.1512
50.48,-0.3727,0.0606
51.60,-0.3368,0.2823
52.58,-0.2658,0.5091
53.87,-0.0571,0.6063
55.18,-0.2622,0.6214
55.57,-0.0327,0.6742
56.88,0.3114,0.6941
59.27,0.5189,0.6584
59.67,0.6998,0.5580
63.17,0.8279,0.3997
85.17,0.6534,0.5309
92.18,0.7835,0.3581
93.70,0.8578,0.1509
95.38,0.7433,0.3591
95.48,0.6424,0.6526
98.75,0.6285,0.8809
99.97,0.6576,1.1743
101.77,0.6256,1.4420
101.88,0.5721,0.6240
101.98,0.5515,0.3658
102.37,0.4518,0.0572
102.67,0.3719,-0.1498
103.07,0.4473,0.0528
103.37,0.5210,0.2496
103.68,0.4360,0.0303
105.53,0.3309,-0.1603
107.77,0.3872,0.0654
108.37,0.5508,0.2073
114.88,0.3632,0.3283
115.97,0.5919,0.3571
116.27,0.8078,0.3125
119.77,0.6575,0.4546
120.87,0.5459,0.6381
121.97,0.6722,0.4749
129.68,0.7312,0.6734
130.47,0.8062,0.4783
131.07,0.8027,0.1946
131.67,0.7718,-0.0201
133.80,0.9564,0.0956
135.27,0.9616,-0.1073
136.27,0.6986,-0.1983
143.27,0.8443,-0.3513
144.48,0.6260,-0.3947
145.18,0.4037,-0.2359
145.77,0.2620,-0.0943
148.07,0.2562,-0.3140
149.87,0.1307,-0.1563
150.37,0.1752,0.0442
159.97,0.3007,0.3017
162.19,0.1038,0.2189
164.28,0.2799,0.3901
164.88,0.5581,0.4293
171.28,0.3618,0.5244
172.39,0.6271,0.4559
180.27,0.8036,0.3570
185.49,0.8784,0.5524
187.77,0.7812,0.3150
190.78,0.8242,0.1169
191.58,1.0116,0.0149
193.08,0.6841,0.0648
199.47,0.4798,0.0254
200.70,0.3010,-0.0937
201.18,0.3252,0.1230
201.67,0.4868,0.2546
202.48,0.6665,0.3461
206.07,0.8772,0.3745
214.07,0.6843,0.4499
215.38,0.4989,0.5920
216.47,0.7253,0.4253
218.68,0.8694,0.5791
219.77,1.0123,0.7431
220.57,0.9246,0.4485
221.67,0.7905,0.2644
222.27,0.5764,0.0875
228.79,0.8427,0.0705
230.42,0.6668,-0.0566
231.18,0.4655,0.0183
233.58,0.4881,-0.1915
234.67,0.2808,-0.1532
235.67,0.2540,0.1586
243.47,0.0400,0.1469
243.97,0.1181,0.3452
244.57,0.3132,0.4958
248.08,0.2327,0.6800
248.88,0.5014,0.6951
249.47,0.7008,0.6379
