elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
19.36,0.0562,-0.2492,0.1222,-0.5419
20.59,-0.8543,0.3849,-1.1278,0.5081
23.19,-0.8874,-0.6624,-1.1278,-0.8419
26.19,-1.7002,0.6444,-1.9778,0.7581
27.85,0.3582,-0.6256,0.4941,-0.8931
32.07,-1.1183,-0.2250,-1.4104,-0.2931
43.14,2.2736,-0.1686,2.2736,-0.1686
44.13,2.2673,-0.1654,2.2673,-0.1654
46.90,0.4313,0.7099,0.3572,1.0006
47.90,0.7757,1.5023,0.8072,1.8006
49.80,1.6893,1.5520,1.8572,1.8006
50.45,-1.6614,0.7966,-1.9428,0.9006
53.41,1.1454,-0.4318,1.3072,-0.5494
58.40,2.2317,1.7073,2.4072,1.9506
62.17,0.4318,0.7100,0.3572,1.0006
63.91,0.7720,1.5027,0.8072,1.8006
