elapsed_s,x_rel_m,y_rel_m
20.20,0.0000,0.0000
25.10,-0.0053,-0.0002
26.11,-0.0692,-0.0039
27.80,-0.1470,-0.0197
28.86,-0.1174,-0.0188
29.10,-0.0607,-0.0086
30.10,-0.0600,-0.0088
31.11,-0.0516,0.0037
32.20,-0.0501,0.0075
33.21,-0.0848,0.0373
33.81,-0.1396,0.0684
34.81,-0.2002,0.0946
35.63,-0.1596,-0.0319
35.93,-0.2268,-0.0425
36.21,-0.1420,-0.0215
37.25,-0.1773,-0.0319
38.46,-0.2093,-0.0563
39.71,-0.0270,-0.0400
39.81,0.1044,-0.0303
39.91,0.1632,-0.0137
40.11,0.3716,0.0799
40.70,0.3277,0.0239
41.40,0.2897,-0.0373
41.71,0.5639,0.1935
42.80,0.5491,0.1601
44.60,0.6479,0.1854
44.71,0.7631,0.3638
45.75,0.7699,0.3012
46.71,0.8026,0.3641
46.81,0.8623,0.5024
46.91,0.8976,0.5619
47.11,0.9142,0.6360
47.54,0.9279,0.7134
47.70,0.9443,0.7922
48.60,0.9029,0.8736
48.85,0.7698,1.0522
49.50,0.7350,1.2125
50.11,0.7851,1.1689
50.70,0.7426,1.2034
51.71,0.7026,1.2407
52.71,0.7194,1.2034
53.91,0.7085,1.2147
54.48,0.6775,1.2638
55.51,0.6869,1.2474
56.55,0.6894,1.2428
57.61,0.6989,1.2256
58.73,0.7111,1.2034
59.81,0.7076,1.2134
60.20,0.6555,1.3189
61.65,0.6751,1.2833
62.79,0.6989,1.2400
64.50,0.6732,1.2953
65.65,0.6880,1.2685
66.70,0.7082,1.2319
67.71,0.7159,1.2181
68.78,0.7211,1.2088
69.80,0.7241,1.2031
70.10,0.8540,1.3230
71.10,0.8542,1.3230
72.30,0.8576,1.3191
73.41,0.8932,1.3138
74.41,0.8605,1.3144
75.11,0.7875,1.3126
