elapsed_s,area_m2,percent_known,known_cells,total_cells
12.64,4.705,77.77,1882,2420
13.86,4.705,77.77,1882,2420
14.76,4.705,77.77,1882,2420
15.71,4.705,77.77,1882,2420
16.69,4.705,77.77,1882,2420
17.17,4.705,77.77,1882,2420
18.16,4.705,77.77,1882,2420
19.16,4.705,77.77,1882,2420
20.12,4.705,77.77,1882,2420
21.35,4.705,77.77,1882,2420
22.14,4.705,77.77,1882,2420
23.28,4.705,77.77,1882,2420
24.16,4.705,77.77,1882,2420
25.12,4.705,77.77,1882,2420
26.12,4.705,77.77,1882,2420
27.17,4.705,77.77,1882,2420
28.11,4.705,77.77,1882,2420
29.12,4.705,77.77,1882,2420
30.11,4.705,77.77,1882,2420
31.14,4.705,77.77,1882,2420
32.12,4.705,77.77,1882,2420
33.24,7.368,80.70,2947,3652
34.48,7.580,83.02,3032,3652
35.73,7.598,83.21,3039,3652
36.14,7.598,83.21,3039,3652
37.19,7.600,83.24,3040,3652
38.13,7.600,83.24,3040,3652
39.11,7.600,83.24,3040,3652
40.11,7.600,83.24,3040,3652
41.11,7.600,83.24,3040,3652
42.12,7.600,83.24,3040,3652
43.12,7.600,83.24,3040,3652
44.11,7.600,83.24,3040,3652
45.11,7.600,83.24,3040,3652
46.11,7.600,83.24,3040,3652
47.12,7.600,83.24,3040,3652
48.14,7.600,83.24,3040,3652
49.11,7.600,83.24,3040,3652
50.13,7.600,83.24,3040,3652
51.11,7.600,83.24,3040,3652
52.11,7.600,83.24,3040,3652
53.12,7.600,83.24,3040,3652
54.11,7.600,83.24,3040,3652
55.11,7.600,83.24,3040,3652
