elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
12.49,0.6171,-0.2479,0.8955,-0.3598
13.00,0.4350,0.6868,0.5955,0.9402
34.82,-0.5895,-0.3999,-0.8404,-0.5644
36.15,-0.9170,0.7620,-1.1904,0.8856
43.35,-0.1996,-0.7594,-0.4187,-0.9644
44.95,-1.0123,0.2456,-1.3096,0.2856
53.16,-0.8867,-0.3397,-1.1596,-0.4644
57.16,-0.1875,-0.8686,-0.3596,-1.1144
63.34,0.8186,-0.7685,0.9904,-1.0144
64.67,-1.1069,0.8739,-1.3596,1.0356
68.97,-0.8403,-0.8821,-1.1096,-1.0144
73.00,-1.1645,0.3314,-1.4596,0.3856
76.36,1.3320,-0.6390,1.5904,-0.7913
76.97,0.4862,-0.9291,0.3404,-1.1913
77.35,1.1664,0.4355,1.2904,0.7087
77.97,1.9914,-1.1241,2.2404,-1.2913
78.56,0.3707,1.2696,0.2904,1.5587
79.17,1.0994,1.7115,1.1404,2.0087
81.93,-1.1030,0.9032,-1.3596,1.0587
85.05,1.1418,-1.4080,1.2404,-1.6913
86.14,-0.1089,-1.1683,-0.3096,-1.3913
86.90,0.2144,1.7679,0.1404,2.0587
90.61,1.1581,0.4394,1.2904,0.7087
91.54,1.3368,-0.6310,1.5904,-0.7913
92.20,1.9944,-1.1197,2.2404,-1.2913
92.69,-1.1738,0.3676,-1.4596,0.4587
94.55,0.4536,-0.9135,0.3404,-1.1913
95.71,0.3635,1.2677,0.2904,1.5587
98.65,1.0940,1.7123,1.1404,2.0087
100.42,1.1429,-1.4076,1.2404,-1.6913
104.86,1.3426,-0.6222,1.5904,-0.7913
105.91,1.1385,0.4500,1.2904,0.7087
106.50,-0.1096,-1.1677,-0.3096,-1.3913
108.62,0.6890,-1.2953,0.6404,-1.5913
109.15,1.9892,-1.1273,2.2404,-1.2913
109.79,-1.1776,0.3562,-1.4596,0.4587
110.37,0.2232,1.7703,0.1404,2.0587
113.19,1.0976,1.7117,1.1404,2.0087
119.51,1.3281,-0.6458,1.5904,-0.7913
120.83,1.1890,0.4263,1.2904,0.7087
122.47,0.4790,-0.9253,0.3404,-1.1913
123.52,1.9904,-1.1256,2.2404,-1.2913
124.06,0.3720,1.2700,0.2904,1.5587
124.87,-1.1770,0.3580,-1.4596,0.4587
