elapsed_s,area_m2,percent_known,known_cells,total_cells
0.85,4.445,79.98,1778,2223
1.88,4.445,79.98,1778,2223
2.69,4.445,79.98,1778,2223
4.26,4.445,79.98,1778,2223
7.29,4.445,79.98,1778,2223
8.48,4.445,79.98,1778,2223
9.63,4.445,79.98,1778,2223
11.09,4.445,79.98,1778,2223
12.72,4.445,79.98,1778,2223
13.51,4.445,79.98,1778,2223
14.52,4.445,79.98,1778,2223
15.74,4.445,79.98,1778,2223
16.57,4.445,79.98,1778,2223
17.08,4.445,79.98,1778,2223
18.20,4.445,79.98,1778,2223
18.96,4.445,79.98,1778,2223
20.04,4.445,79.98,1778,2223
20.96,4.445,79.98,1778,2223
21.94,4.445,79.98,1778,2223
22.94,4.445,79.98,1778,2223
23.95,4.445,79.98,1778,2223
24.94,4.445,79.98,1778,2223
25.94,4.445,79.98,1778,2223
26.94,4.445,79.98,1778,2223
27.94,4.445,79.98,1778,2223
28.95,4.678,84.17,1871,2223
29.95,4.678,84.17,1871,2223
30.95,4.678,84.17,1871,2223
31.94,5.045,85.51,2018,2360
32.94,5.195,88.05,2078,2360
34.02,5.310,90.00,2124,2360
34.94,5.310,90.00,2124,2360
35.96,5.350,90.68,2140,2360
