elapsed_s,area_m2,percent_known,known_cells,total_cells
9.66,4.698,80.99,1879,2320
9.70,4.698,80.99,1879,2320
11.44,4.698,80.99,1879,2320
12.22,4.698,80.99,1879,2320
13.15,4.698,80.99,1879,2320
14.31,4.698,80.99,1879,2320
15.49,4.698,80.99,1879,2320
16.07,4.698,80.99,1879,2320
17.02,4.698,80.99,1879,2320
17.70,4.698,80.99,1879,2320
18.70,4.698,80.99,1879,2320
19.71,4.698,80.99,1879,2320
20.69,4.698,80.99,1879,2320
21.70,4.698,80.99,1879,2320
22.69,4.698,80.99,1879,2320
23.71,4.698,80.99,1879,2320
25.17,5.443,91.55,2177,2378
25.74,5.443,91.55,2177,2378
26.70,5.483,92.22,2193,2378
27.69,5.483,92.22,2193,2378
28.69,5.483,92.22,2193,2378
29.90,5.528,91.40,2211,2419
30.73,5.528,91.40,2211,2419
32.42,5.528,91.40,2211,2419
33.47,5.530,91.44,2212,2419
33.82,5.530,91.44,2212,2419
34.69,5.533,91.48,2213,2419
35.74,5.533,91.48,2213,2419
36.72,5.533,91.48,2213,2419
37.70,5.550,91.77,2220,2419
38.69,5.550,91.77,2220,2419
39.70,5.550,91.77,2220,2419
40.70,5.550,91.77,2220,2419
41.69,5.550,91.77,2220,2419
42.70,5.550,91.77,2220,2419
43.69,5.550,91.77,2220,2419
44.69,5.550,91.77,2220,2419
45.70,5.550,91.77,2220,2419
46.70,5.550,91.77,2220,2419
47.71,5.550,91.77,2220,2419
48.69,5.550,91.77,2220,2419
49.69,5.550,91.77,2220,2419
50.71,5.550,91.77,2220,2419
51.72,5.550,91.77,2220,2419
52.71,5.550,91.77,2220,2419
53.72,5.550,91.77,2220,2419
54.71,5.550,91.77,2220,2419
55.69,5.550,91.77,2220,2419
56.71,5.550,91.77,2220,2419
57.71,5.550,91.77,2220,2419
58.69,5.550,91.77,2220,2419
59.69,5.550,91.77,2220,2419
60.71,5.550,91.77,2220,2419
62.07,5.550,91.77,2220,2419
62.70,5.550,91.77,2220,2419
63.69,5.550,91.77,2220,2419
64.72,5.550,91.77,2220,2419
65.70,5.550,91.77,2220,2419
