elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
17.62,0.0000,0.0000,0.0299,0.0049,0.0000,0.0000,0.0299,0.0049
23.32,0.0166,-0.0016,0.0536,0.0153,0.0166,-0.0016,0.0536,0.0153
24.05,0.0731,0.0163,0.0772,0.0289,0.0731,0.0163,0.0772,0.0289
24.72,0.1249,0.0463,0.1200,0.0550,0.1249,0.0463,0.1200,0.0550
25.42,0.1717,0.0835,0.1245,0.0736,0.1717,0.0835,0.1245,0.0736
26.04,0.2136,0.1302,0.1099,0.0835,0.2136,0.1302,0.1099,0.0835
26.52,0.0393,0.0918,0.0499,0.0621,0.0393,0.0918,0.0499,0.0621
27.64,0.0000,0.0658,-0.0218,0.0313,0.0000,0.0658,-0.0218,0.0313
27.82,-0.1753,-0.0608,-0.0915,0.0022,-0.1753,-0.0608,-0.0915,0.0022
28.92,-0.1868,-0.0706,-0.1220,-0.0124,-0.1868,-0.0706,-0.1220,-0.0124
29.32,-0.1349,-0.0150,-0.1582,-0.0337,-0.1349,-0.0150,-0.1582,-0.0337
30.42,-0.1129,0.0184,-0.1684,-0.0365,-0.1129,0.0184,-0.1684,-0.0365
31.02,-0.1810,-0.0405,-0.1747,-0.0247,-0.1810,-0.0405,-0.1747,-0.0247
31.42,-0.2266,-0.0747,-0.1921,-0.0112,-0.2266,-0.0747,-0.1921,-0.0112
32.12,-0.2182,-0.0115,-0.2250,-0.0202,-0.2182,-0.0115,-0.2250,-0.0202
32.72,-0.2217,0.0522,-0.2542,-0.0095,-0.2217,0.0522,-0.2542,-0.0095
33.32,-0.2776,-0.0265,-0.2787,-0.0063,-0.2776,-0.0265,-0.2787,-0.0063
34.29,-0.3272,0.0131,-0.3058,-0.0380,-0.3272,0.0131,-0.3058,-0.0380
34.42,-0.3489,-0.0589,-0.3308,-0.0929,-0.3489,-0.0589,-0.3308,-0.0929
34.72,-0.3538,-0.1699,-0.3280,-0.1883,-0.3538,-0.1699,-0.3280,-0.1883
35.42,-0.3465,-0.2223,-0.3250,-0.2784,-0.3465,-0.2223,-0.3250,-0.2784
35.85,-0.2636,-0.5035,-0.3257,-0.3415,-0.2636,-0.5035,-0.3257,-0.3415
36.75,-0.3123,-0.4372,-0.3147,-0.3976,-0.3123,-0.4372,-0.3147,-0.3976
37.35,-0.3522,-0.3746,-0.2988,-0.4526,-0.3522,-0.3746,-0.2988,-0.4526
38.32,-0.2988,-0.4505,-0.3010,-0.4498,-0.2988,-0.4505,-0.3010,-0.4498
38.72,-0.2670,-0.4971,-0.2928,-0.4613,-0.2670,-0.4971,-0.2928,-0.4613
39.72,-0.2747,-0.4897,-0.2777,-0.4839,-0.2747,-0.4897,-0.2777,-0.4839
40.82,-0.2713,-0.4948,-0.2732,-0.4914,-0.2713,-0.4948,-0.2732,-0.4914
41.84,-0.2766,-0.4875,-0.2747,-0.4895,-0.2766,-0.4875,-0.2747,-0.4895
42.95,-0.2762,-0.4877,-0.2758,-0.4881,-0.2762,-0.4877,-0.2758,-0.4881
44.02,-0.2749,-0.4879,-0.2755,-0.4877,-0.2749,-0.4879,-0.2755,-0.4877
45.04,-0.2802,-0.4825,-0.2758,-0.4872,-0.2802,-0.4825,-0.2758,-0.4872
46.05,-0.2696,-0.4926,-0.2792,-0.4843,-0.2696,-0.4926,-0.2792,-0.4843
47.06,-0.2779,-0.4854,-0.2854,-0.4796,-0.2779,-0.4854,-0.2854,-0.4796
48.12,-0.2937,-0.4732,-0.2939,-0.4733,-0.2937,-0.4732,-0.2939,-0.4733
49.13,-0.3056,-0.4641,-0.2966,-0.4744,-0.3056,-0.4641,-0.2966,-0.4744
50.22,-0.3226,-0.4513,-0.2996,-0.4746,-0.3226,-0.4513,-0.2996,-0.4746
50.72,-0.2835,-0.4981,-0.3011,-0.4748,-0.2835,-0.4981,-0.3011,-0.4748
51.73,-0.2925,-0.4862,-0.3015,-0.4752,-0.2925,-0.4862,-0.3015,-0.4752
52.74,-0.3016,-0.4742,-0.3019,-0.4737,-0.3016,-0.4742,-0.3019,-0.4737
53.74,-0.3076,-0.4662,-0.3133,-0.4587,-0.3076,-0.4662,-0.3133,-0.4587
54.82,-0.3245,-0.4439,-0.3258,-0.4422,-0.3245,-0.4439,-0.3258,-0.4422
55.92,-0.3405,-0.4228,-0.3387,-0.4252,-0.3405,-0.4228,-0.3387,-0.4252
57.07,-0.3549,-0.4040,-0.3534,-0.4061,-0.3549,-0.4040,-0.3534,-0.4061
58.07,-0.3661,-0.3893,-0.3447,-0.4164,-0.3661,-0.3893,-0.3447,-0.4164
59.12,-0.3807,-0.3703,-0.3384,-0.4232,-0.3807,-0.3703,-0.3384,-0.4232
59.72,-0.2811,-0.4955,-0.3326,-0.4293,-0.2811,-0.4955,-0.3326,-0.4293
60.72,-0.3092,-0.4571,-0.3273,-0.4346,-0.3092,-0.4571,-0.3273,-0.4346
61.89,-0.3259,-0.4344,-0.3104,-0.4552,-0.3259,-0.4344,-0.3104,-0.4552
62.93,-0.3394,-0.4160,-0.3124,-0.4521,-0.3394,-0.4160,-0.3124,-0.4521
63.12,-0.2962,-0.4733,-0.3106,-0.4542,-0.2962,-0.4733,-0.3106,-0.4542
64.12,-0.2913,-0.4796,-0.3075,-0.4587,-0.2913,-0.4796,-0.3075,-0.4587
65.12,-0.3002,-0.4675,-0.2996,-0.4694,-0.3002,-0.4675,-0.2996,-0.4694
66.22,-0.3105,-0.4570,-0.3007,-0.4681,-0.3105,-0.4570,-0.3007,-0.4681
