elapsed_s,x_m,y_m
7.08,0.0000,0.0000
21.98,0.2133,0.0043
23.08,0.4179,0.0426
24.18,0.2008,0.1155
25.38,-0.0024,0.1679
27.08,-0.2220,0.1991
28.29,-0.4241,0.1265
29.50,-0.5639,-0.0684
29.68,-0.6044,-0.3186
30.29,-0.5932,-0.5596
31.28,-0.5833,-0.7608
36.18,-0.6111,-0.5545
40.38,-0.6076,-0.7578
43.88,-0.6066,-0.5535
45.08,-0.6065,-0.3328
53.08,-0.5904,-0.5376
98.40,-0.5082,-0.3506
100.08,-0.6119,-0.5239
108.48,-0.7452,-0.8435
110.00,-0.6243,-0.6364
110.58,-0.4537,-0.4717
110.97,-0.2845,-0.3613
113.18,-0.6031,-0.4989
115.28,-0.4302,-0.3866
116.96,-0.6170,-0.5046
119.48,-0.4283,-0.3917
124.08,-0.5914,-0.5207
125.68,-0.3763,-0.5907
126.68,-0.3975,-0.3843
127.48,-0.6093,-0.4608
128.08,-0.8014,-0.5634
129.97,-0.5861,-0.5629
132.39,-0.8360,-0.5921
133.78,-0.6342,-0.5378
135.77,-0.8302,-0.5986
