elapsed_s,area_m2,percent_known,known_cells,total_cells
0.93,4.035,73.23,1614,2204
2.20,4.035,73.23,1614,2204
4.15,4.035,73.23,1614,2204
6.99,4.035,73.23,1614,2204
8.47,4.035,73.23,1614,2204
10.61,4.035,73.23,1614,2204
12.46,4.035,73.23,1614,2204
13.93,4.035,73.23,1614,2204
16.00,4.035,73.23,1614,2204
17.66,4.035,73.23,1614,2204
19.67,4.035,73.23,1614,2204
21.67,4.035,73.23,1614,2204
23.62,4.633,80.53,1853,2301
25.64,4.633,80.53,1853,2301
28.20,6.420,56.74,2568,4526
29.63,6.420,56.74,2568,4526
32.19,7.220,59.05,2888,4891
33.73,7.445,59.99,2978,4964
36.03,7.570,61.00,3028,4964
37.96,7.610,61.32,3044,4964
40.08,8.060,56.58,3224,5698
41.63,8.060,56.58,3224,5698
43.99,8.150,56.45,3260,5775
45.63,8.150,56.45,3260,5775
48.24,8.753,54.78,3501,6391
49.64,8.753,54.78,3501,6391
51.65,8.753,54.78,3501,6391
53.64,8.793,55.03,3517,6391
55.63,8.883,55.59,3553,6391
57.63,8.955,56.05,3582,6391
59.63,8.955,56.05,3582,6391
61.62,8.970,56.14,3588,6391
63.63,9.805,61.37,3922,6391
65.63,9.948,62.26,3979,6391
67.83,9.988,62.51,3995,6391
69.68,10.028,62.76,4011,6391
71.62,10.028,62.76,4011,6391
73.63,10.108,63.26,4043,6391
75.63,10.108,63.26,4043,6391
77.67,10.235,64.06,4094,6391
79.63,10.420,65.22,4168,6391
81.63,10.428,65.26,4171,6391
83.63,10.428,65.26,4171,6391
85.64,10.443,65.36,4177,6391
87.63,10.468,65.51,4187,6391
89.63,10.510,65.78,4204,6391
91.64,10.510,65.78,4204,6391
93.65,10.688,66.89,4275,6391
95.67,10.793,58.44,4317,7387
97.70,10.803,58.49,4321,7387
99.66,10.815,58.56,4326,7387
101.63,10.840,58.70,4336,7387
103.63,10.840,58.70,4336,7387
105.63,10.990,59.51,4396,7387
107.63,11.203,59.99,4481,7470
109.63,11.253,60.25,4501,7470
111.63,11.263,60.31,4505,7470
113.66,11.343,59.42,4537,7636
115.64,11.343,59.42,4537,7636
117.63,11.345,59.43,4538,7636
119.63,11.345,59.43,4538,7636
121.63,11.373,59.57,4549,7636
123.64,11.473,58.82,4589,7802
125.73,11.618,57.13,4647,8134
127.64,11.620,57.14,4648,8134
129.63,11.620,57.14,4648,8134
131.63,11.620,57.14,4648,8134
133.63,11.620,57.14,4648,8134
135.63,11.620,57.14,4648,8134
137.63,11.678,57.43,4671,8134
139.66,11.678,57.43,4671,8134
141.85,11.685,57.46,4674,8134
143.65,11.688,57.47,4675,8134
145.67,11.698,57.52,4679,8134
147.63,11.740,57.73,4696,8134
149.63,11.740,57.73,4696,8134
151.71,11.823,58.14,4729,8134
153.76,11.833,58.19,4733,8134
155.75,11.840,58.22,4736,8134
157.63,11.863,58.34,4745,8134
159.79,12.073,59.37,4829,8134
162.00,12.075,59.38,4830,8134
163.82,12.075,59.38,4830,8134
165.65,12.150,59.75,4860,8134
167.90,12.173,59.86,4869,8134
169.65,12.173,59.86,4869,8134
172.09,12.200,60.00,4880,8134
173.96,12.208,60.03,4883,8134
175.69,12.625,58.50,5050,8632
177.64,12.625,58.50,5050,8632
180.07,12.728,58.98,5091,8632
182.08,12.760,59.13,5104,8632
183.83,12.760,59.13,5104,8632
185.98,12.763,59.14,5105,8632
188.11,12.773,59.19,5109,8632
